file,date,time,pipeline,metadata,SNR_mean,SNR_median,SNR_var
T2m3ws-20230106.103716-0035.p12_SN,07/01/2023,00:57:27,v01,m01,44.8461436755792,45.6739530886897,240.16559189517153
T2m3ws-20220718.104325-0330.p12_SN,19/07/2022,02:01:05,v01,m01,23.388227160784158,24.073751208761898,129.13403911448134
T2m3ws-20220913.164125-0160.p12_SN,14/09/2022,04:46:41,v01,m01,5.057631850703973,5.251438653389263,4.570498837379186
T2m3ws-20220709.152359-0515.p12_SN,12/07/2022,05:33:08,v01,m01,48.33242046142837,51.08091161907228,430.2060524703087
T2m3ws-20211211.140637-0072.p12_SN,15/12/2021,09:39:18,v01,m01,21.28771192425599,22.511372234217454,101.86028064272455
T2m3ws-20211025.173637-0119.p12_SN,26/10/2021,05:26:29,v01,m01,44.71547109186983,49.59682884394518,365.354177254321
T2m3ws-20220426.123220-0026.p12_SN,07/05/2022,00:20:37,v01,m01,6.129284727113106,5.485912684349207,16.680581618543936
T2m3ws-20220820.162335-0144.p12_SN,21/08/2022,07:25:41,v01,m01,3.2341767813429967,2.9881409761784985,3.8715750632479473
T2m3ws-20220716.124920-0226.p12_SN,17/07/2022,05:19:07,v01,m01,4.7160547526963725,5.057186843499933,8.447762781454571
T2m3ws-20211009.165150-0126.p12_SN,10/10/2021,00:11:10,v01,m01,3.119755844477586,2.726544907784321,4.718273761423839
T2m3ws-20210914.183939-0190.p12_SN,20/11/2021,12:58:58,v01,m01,35.39080451718026,40.497515308322164,376.1832778132183
T2m3ws-20210915.180232-0377.p12_SN,20/11/2021,10:01:12,v01,m01,2.514999069358999,2.650320244380735,1.7294736797417425
T2m3ws-20211115.143731-0071.p12_SN,16/11/2021,06:06:05,v01,m01,30.21494543949258,31.47175816281051,85.98380354955151
T2m3ws-20220509.160759-0079.p12_SN,11/05/2022,05:30:59,v01,m01,-0.023086699047659504,0.023259336139734115,0.10157800657498672
T2m3ws-20211025.161147-0116.p12_SN,26/10/2021,01:22:18,v01,m01,2.672454517969475,2.7505459625917745,1.7592394809522385
T2m3ws-20211115.125303-0067.p12_SN,16/11/2021,06:03:36,v01,m01,198.67009211404957,214.1297850864637,9189.537548502394
T2m3ws-20211026.115233-0056.p12_SN,27/10/2021,02:10:29,v01,m01,3.6867139175180212,4.021534093064776,1.4418617132899707
T2m3ws-20211008.175054-0082.p12_SN,09/10/2021,10:14:01,v01,m01,28.35963458532848,31.91811355004289,203.16247017718592
T2m3ws-20210915.170157-0375.p12_SN,20/11/2021,11:13:14,v01,m01,1.0121825030933103,1.0241668077431776,0.28214602321083154
T2m3ws-20220817.141216-0035.p12_SN,18/08/2022,03:14:15,v01,m01,3.307325608933023,3.3555513740975464,3.411517575996511
T2m3ws-20211026.131800-0059.p12_SN,27/10/2021,02:14:02,v01,m01,7.458501263630998,7.983364867860336,9.238238432441172
T2m3ws-20211114.171319-0065.p12_SN,15/11/2021,12:35:32,v01,m01,2.197653191893848,1.887617600831296,1.390795733153725
T2m3ws-20211026.144018-0062.p12_SN,27/10/2021,02:15:33,v01,m01,4.834655834327913,5.084528379164847,4.014698073161085
T2m3ws-20211024.160134-0093.p12_SN,25/10/2021,08:43:22,v01,m01,8.983597636508721,9.26444712735248,11.150638258431018
T2m3ws-20211007.173121-0040.p12_SN,20/11/2021,07:14:14,v01,m01,4.565328297558949,5.0313816420374975,3.5227561491060992
T2m3ws-20210914.175245-0188.p12_SN,20/11/2021,10:35:58,v01,m01,26.14403095081937,27.77727098437022,181.30636662160958
T2m3ws-20210926.131058-0069.p12_SN,18/10/2021,03:27:07,v01,m01,48.93354125307935,53.30248152005852,329.04017182503844
T2m3ws-20210916.162835-0478.p12_SN,20/11/2021,09:39:03,v01,m01,30.62545518677293,36.70605289766675,213.55814028098553
T2m3ws-20220502.145631-0027.p12_SN,07/05/2022,08:10:23,v01,m01,4.827164262801061,5.112858997377957,2.978547807306105
T2m3ws-20211114.144003-0059.p12_SN,15/11/2021,11:45:03,v01,m01,21.742443971696975,26.308716202536623,95.255140301365
T2m3ws-20210922.165306-0008.p12_SN,10/10/2021,01:27:08,v01,m01,4.822666313503092,4.953980467413132,5.313626264795085
T2m3ws-20221104.110100-0036.p12_SN,05/11/2022,06:33:57,v01,m01,10.092309090993759,10.68168537491683,10.685148774070747
T2m3ws-20220912.124224-0060.p12_SN,13/09/2022,03:40:40,v01,m01,13.017921850041494,12.85469672034539,27.616589092913745
T2m3ws-20220905.185818-0048.p12_SN,06/09/2022,09:11:46,v01,m01,0.8839681461368338,0.9059785016076511,0.23794279183889858
T2m3ws-20211016.171517-0119.p12_SN,17/10/2021,03:03:46,v01,m01,7.6323013529205905,7.6507757252713375,10.82499546305349
T2m3ws-20210922.162607-0006.p12_SN,10/10/2021,01:26:53,v01,m01,4.785012648978769,4.430802977771363,5.221158492907631
T2m3ws-20211027.130833-0058.p12_SN,28/10/2021,08:59:06,v01,m01,2.134607530247684,2.216906333383996,1.990269318388382
T2m3ws-20220625.193305-0172.p12_SN,09/07/2022,05:21:47,v01,m01,2.7450575909166015,2.4286518898338842,3.0922951569381802
T2m3ws-20211017.154844-0100.p12_SN,18/10/2021,01:40:20,v01,m01,20.891144447999867,21.90621452821803,86.38168462909758
OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN,16/06/2022,14:58:41,v01,m01,0.6685092803231688,0.6198534500665271,0.16574869250011678
