file,date,time,pipeline,metadata,SNR_mean,SNR_median,SNR_var
T2m3ws-20230106.103716-0035.p12_SN,07/01/2023,00:57:27,v01,m01,45.07435823422596,45.81097601478883,232.30776197545887
T2m3ws-20220718.104325-0330.p12_SN,19/07/2022,02:01:05,v01,m01,23.584087106376103,24.07545622581823,126.69735067257633
T2m3ws-20220913.164125-0160.p12_SN,14/09/2022,04:46:41,v01,m01,5.091865079817274,5.329716917396431,4.400870222803776
T2m3ws-20220709.152359-0515.p12_SN,12/07/2022,05:33:08,v01,m01,48.67701246188606,51.13901007585549,417.8625141945083
T2m3ws-20211211.140637-0072.p12_SN,15/12/2021,09:39:18,v01,m01,21.378239220148036,22.833211760314047,100.01355081072731
T2m3ws-20211025.173637-0119.p12_SN,26/10/2021,05:26:29,v01,m01,45.055731547071915,50.69100829129,353.1716574221007
T2m3ws-20220426.123220-0026.p12_SN,07/05/2022,00:20:37,v01,m01,6.168462533716712,5.563404166102159,16.492125315560592
T2m3ws-20220820.162335-0144.p12_SN,21/08/2022,07:25:41,v01,m01,3.25118992912182,2.9258544915459725,3.803956301510524
T2m3ws-20220716.124920-0226.p12_SN,17/07/2022,05:19:07,v01,m01,4.785586289792062,5.208405788430882,8.33065060297094
T2m3ws-20211009.165150-0126.p12_SN,10/10/2021,00:11:10,v01,m01,3.1382027198476043,2.7545389038961448,4.637728455904791
T2m3ws-20210914.183939-0190.p12_SN,20/11/2021,12:58:58,v01,m01,35.69128049061162,41.22179918040254,368.8717580013605
T2m3ws-20210915.180232-0377.p12_SN,20/11/2021,10:01:12,v01,m01,2.5327484649373893,2.5681242110422007,1.696704909306462
T2m3ws-20211115.143731-0071.p12_SN,16/11/2021,06:06:05,v01,m01,30.365352060121907,31.278473710331497,82.16919035234997
T2m3ws-20220509.160759-0079.p12_SN,11/05/2022,05:30:59,v01,m01,-0.018843553048436885,0.014901249220658028,0.10332307428833938
T2m3ws-20211025.161147-0116.p12_SN,26/10/2021,01:22:18,v01,m01,2.6944292100263123,2.8568977669851097,1.6963332335553936
T2m3ws-20211115.125303-0067.p12_SN,16/11/2021,06:03:36,v01,m01,199.44303076155217,211.85982314581665,8990.440363580221
T2m3ws-20211026.115233-0056.p12_SN,27/10/2021,02:10:29,v01,m01,3.700791335887105,4.0353114929304805,1.3790976717443066
T2m3ws-20211008.175054-0082.p12_SN,09/10/2021,10:14:01,v01,m01,28.553070798211984,31.951411520381267,198.85432920922835
T2m3ws-20210915.170157-0375.p12_SN,20/11/2021,11:13:14,v01,m01,1.0158666870865198,1.0224533942963896,0.2770663234273851
T2m3ws-20220817.141216-0035.p12_SN,18/08/2022,03:14:15,v01,m01,3.3169145711812598,3.307340330010021,3.3644432185522044
T2m3ws-20211026.131800-0059.p12_SN,27/10/2021,02:14:02,v01,m01,7.482851952519257,8.052846691891371,8.975416024590473
T2m3ws-20211114.171319-0065.p12_SN,15/11/2021,12:35:32,v01,m01,2.2086893464162083,1.9546028087367593,1.3733248540824234
T2m3ws-20211026.144018-0062.p12_SN,27/10/2021,02:15:33,v01,m01,4.857978405356058,5.070993808752706,3.8632839969796344
T2m3ws-20211024.160134-0093.p12_SN,25/10/2021,08:43:22,v01,m01,9.079935179022405,9.511996647192632,10.794050721081925
T2m3ws-20211007.173121-0040.p12_SN,20/11/2021,07:14:14,v01,m01,4.59143353497902,5.040348563187422,3.385255502221602
T2m3ws-20210914.175245-0188.p12_SN,20/11/2021,10:35:58,v01,m01,26.352432842191863,28.030082804382776,177.52430987778772
T2m3ws-20210926.131058-0069.p12_SN,18/10/2021,03:27:07,v01,m01,49.07250319128568,53.55498435744338,321.57367276759686
T2m3ws-20210916.162835-0478.p12_SN,20/11/2021,09:39:03,v01,m01,30.871470272950802,37.53730361349345,208.70435448408085
T2m3ws-20220502.145631-0027.p12_SN,07/05/2022,08:10:23,v01,m01,4.8478836820474775,5.135411898597038,2.9031853036470636
T2m3ws-20211114.144003-0059.p12_SN,15/11/2021,11:45:03,v01,m01,21.931832111944793,26.49389128603252,92.57873773907131
T2m3ws-20210922.165306-0008.p12_SN,10/10/2021,01:27:08,v01,m01,4.834632817164621,4.983856727024838,5.248134860393612
T2m3ws-20221104.110100-0036.p12_SN,05/11/2022,06:33:57,v01,m01,10.14484941805902,10.59402563692762,10.197760510966791
T2m3ws-20220912.124224-0060.p12_SN,13/09/2022,03:40:40,v01,m01,13.090422565782529,13.082908707753546,26.77925733055196
T2m3ws-20220905.185818-0048.p12_SN,06/09/2022,09:11:46,v01,m01,0.8909363719878803,0.9019783845072387,0.2364394914380173
T2m3ws-20211016.171517-0119.p12_SN,17/10/2021,03:03:46,v01,m01,7.675352373732018,7.776800506733496,10.495214846928047
T2m3ws-20210922.162607-0006.p12_SN,10/10/2021,01:26:53,v01,m01,4.804558451263828,4.5119370258692655,5.097127842360481
T2m3ws-20211027.130833-0058.p12_SN,28/10/2021,08:59:06,v01,m01,2.1420895441088383,2.177911360369871,1.9816050504547527
T2m3ws-20220625.193305-0172.p12_SN,09/07/2022,05:21:47,v01,m01,2.7619073234070184,2.478949846829182,3.0925853036953193
T2m3ws-20211017.154844-0100.p12_SN,18/10/2021,01:40:20,v01,m01,21.04890631403433,22.067107196384153,83.87635525808328
OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN,16/06/2022,14:58:41,v01,m01,0.6709395909548181,0.6397746257966517,0.1632821748964003
