file,date,time,pipeline,metadata,SNR_mean,SNR_median,SNR_var
T2m3ws-20230106.103716-0035.p12_SN,07/01/2023,00:57:27,v01,m01,51.32650022318219,51.73731750519842,123.02036085391016
T2m3ws-20220718.104325-0330.p12_SN,19/07/2022,02:01:05,v01,m01,29.813088465028176,28.71246330303111,46.95300583420025
T2m3ws-20220913.164125-0160.p12_SN,14/09/2022,04:46:41,v01,m01,5.582674685617128,5.596665405880454,3.79564458709263
T2m3ws-20220709.152359-0515.p12_SN,12/07/2022,05:33:08,v01,m01,60.04493281290016,59.367063285462606,129.15495734218877
T2m3ws-20211211.140637-0072.p12_SN,15/12/2021,09:39:18,v01,m01,22.635245682961582,22.223850034438467,102.917901132652
T2m3ws-20211025.173637-0119.p12_SN,26/10/2021,05:26:29,v01,m01,55.990134379761294,57.31825506992177,65.08817877588176
T2m3ws-20220426.123220-0026.p12_SN,07/05/2022,00:20:37,v01,m01,8.101513262944906,8.043484651267397,11.878756668477408
T2m3ws-20220820.162335-0144.p12_SN,21/08/2022,07:25:41,v01,m01,3.9949929615520574,3.7136527856600736,3.0435456839014687
T2m3ws-20220716.124920-0226.p12_SN,17/07/2022,05:19:07,v01,m01,6.537686235941174,6.611160341591556,2.746577865548133
T2m3ws-20211009.165150-0126.p12_SN,10/10/2021,00:11:10,v01,m01,3.839289851651982,3.527004005147522,4.642127072139801
T2m3ws-20210914.183939-0190.p12_SN,20/11/2021,12:58:58,v01,m01,47.11694881006977,48.67910093476053,107.46584372513121
T2m3ws-20210915.180232-0377.p12_SN,20/11/2021,10:01:12,v01,m01,3.2311170384441956,3.2280005195781003,0.7378385347041088
T2m3ws-20211115.143731-0071.p12_SN,16/11/2021,06:06:05,v01,m01,32.43478083086459,31.67721420940478,53.71720434493475
T2m3ws-20220509.160759-0079.p12_SN,11/05/2022,05:30:59,v01,m01,0.14953206194767954,0.1714658333479539,0.09207603013731024
T2m3ws-20211025.161147-0116.p12_SN,26/10/2021,01:22:18,v01,m01,3.311998717042235,3.302100017077226,0.9763877340924675
T2m3ws-20211115.125303-0067.p12_SN,16/11/2021,06:03:36,v01,m01,178.892428853504,173.10150961333574,7339.919399207717
T2m3ws-20211026.115233-0056.p12_SN,27/10/2021,02:10:29,v01,m01,3.7768366914878757,3.8702534865864298,1.0465148347638074
T2m3ws-20211008.175054-0082.p12_SN,09/10/2021,10:14:01,v01,m01,36.79786774684604,38.305787142496825,58.7744961145006
T2m3ws-20210915.170157-0375.p12_SN,20/11/2021,11:13:14,v01,m01,1.130979724071534,1.1341035949817488,0.2719187290753477
T2m3ws-20220817.141216-0035.p12_SN,18/08/2022,03:14:15,v01,m01,3.621016417739458,3.3569835071722705,3.1951042579896822
T2m3ws-20211026.131800-0059.p12_SN,27/10/2021,02:14:02,v01,m01,7.060478134937017,7.16871026596299,7.342993976658766
T2m3ws-20211114.171319-0065.p12_SN,15/11/2021,12:35:32,v01,m01,2.6331712921191506,2.5256324074717753,1.2413124479022861
T2m3ws-20211026.144018-0062.p12_SN,27/10/2021,02:15:33,v01,m01,5.070045761059193,4.982561115660087,2.697400695195516
T2m3ws-20211024.160134-0093.p12_SN,25/10/2021,08:43:22,v01,m01,9.980582530198186,9.989067842360988,9.122591457108294
T2m3ws-20211007.173121-0040.p12_SN,20/11/2021,07:14:14,v01,m01,5.436831285523273,5.529209442607737,1.174788912471969
T2m3ws-20210914.175245-0188.p12_SN,20/11/2021,10:35:58,v01,m01,33.97916115289312,34.32635897732604,60.22190208148287
T2m3ws-20210926.131058-0069.p12_SN,18/10/2021,03:27:07,v01,m01,50.16585214839552,53.1593003209932,311.71715229708883
T2m3ws-20210916.162835-0478.p12_SN,20/11/2021,09:39:03,v01,m01,39.6857400793263,41.79058354807632,43.75264420535769
T2m3ws-20220502.145631-0027.p12_SN,07/05/2022,08:10:23,v01,m01,5.162478786405758,5.1612055935646755,2.4938141353867587
T2m3ws-20211114.144003-0059.p12_SN,15/11/2021,11:45:03,v01,m01,27.893761129717774,28.96221917066248,11.604953945379602
T2m3ws-20210922.165306-0008.p12_SN,10/10/2021,01:27:08,v01,m01,4.977268766481508,4.522764671141909,5.441112709782611
T2m3ws-20221104.110100-0036.p12_SN,05/11/2022,06:33:57,v01,m01,11.108082629952971,10.885423279693063,6.516016257726746
T2m3ws-20220912.124224-0060.p12_SN,13/09/2022,03:40:40,v01,m01,14.859386817275142,14.614116731072809,19.00818386440296
T2m3ws-20220905.185818-0048.p12_SN,06/09/2022,09:11:46,v01,m01,1.0373178362840056,1.0794824814489776,0.19410819301441662
T2m3ws-20211016.171517-0119.p12_SN,17/10/2021,03:03:46,v01,m01,8.696568601998036,8.537707728262145,8.568294904246365
T2m3ws-20210922.162607-0006.p12_SN,10/10/2021,01:26:53,v01,m01,5.222410007172452,4.883402139274639,5.255773706222078
T2m3ws-20211027.130833-0058.p12_SN,28/10/2021,08:59:06,v01,m01,2.314812431662422,2.174629583299801,2.303951271188316
T2m3ws-20220625.193305-0172.p12_SN,09/07/2022,05:21:47,v01,m01,3.3626254358068945,3.381444130901004,2.9301972673396697
T2m3ws-20211017.154844-0100.p12_SN,18/10/2021,01:40:20,v01,m01,26.23611516366738,25.80152790576047,25.858340155243933
OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN,16/06/2022,14:58:41,v01,m01,0.7703360493999313,0.7472453864724418,0.23665098332966134
T2m3ws-20220428.155027-0033.p12_SN,07/05/2022,04:50:23,v01,m01,4.46262626197574,4.321122928935706,1.9251592762490217
OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN,18/11/2021,15:19:07,v01,m01,1.8743081202685643,1.7731489602293378,0.7933616966274831
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN,11/10/2022,13:33:14,v01,m01,37.60595969039817,36.75487752878192,79.34033883384264
T2m3ws-20220623.172702-0094.p12_SN,24/06/2022,10:46:37,v01,m01,18.41688603231678,17.901975406713305,29.355331602940957
T2m3ws-20210922.155908-0005.p12_SN,20/11/2021,09:20:43,v01,m01,4.495245191050141,4.409056116041438,0.8462974969808078
OBK-11968-WiFeS-Splice-UT20220613T192020-4.p12_SN,18/06/2022,12:30:36,v01,m01,0.8316799997850255,0.838016959765386,0.08826959122424163
T2m3ws-20210914.170537-0186.p12_SN,20/11/2021,12:37:32,v01,m01,53.348037131402506,54.40919987537503,159.81824459796255
