Wavelength,Flux,Error,SNR
3506.20,9.4510e+00,8.9244e+00,1.059006767961992
3506.97,5.3579e+00,8.9259e+00,0.6002643991082132
3507.75,-3.7886e+00,8.8107e+00,-0.42999988650164006
3508.52,-6.1135e-01,8.6345e+00,-0.07080317331634721
3509.30,-4.8260e-01,8.6811e+00,-0.055592033267673445
3510.07,1.7836e+01,8.5022e+00,2.0978099785937756
3510.85,2.8872e+01,8.3073e+00,3.475497454046441
3511.62,5.8657e+00,8.2394e+00,0.711908634123844
3512.40,-6.4542e+00,8.3242e+00,-0.7753537877513755
3513.17,-8.3247e+00,8.1981e+00,-1.0154426025542505
3513.95,-8.7611e+00,8.2710e+00,-1.059255229113771
3514.72,-2.8001e+01,8.4725e+00,-3.304927707288286
3515.50,-1.6124e+01,8.4032e+00,-1.9187928408225436
3516.27,-8.2445e+00,8.3531e+00,-0.9869988387544745
3517.05,1.2853e+01,8.2656e+00,1.5549990321331786
3517.82,6.6249e+00,8.3557e+00,0.7928599638570077
3518.60,-9.3130e+00,8.3979e+00,-1.1089677181200064
3519.37,3.3654e+00,8.3666e+00,0.40224224894222266
3520.15,-1.4599e+00,8.2108e+00,-0.1778024065864471
3520.92,-2.2445e+01,7.8694e+00,-2.8521869519912575
3521.69,-1.0076e+01,8.0306e+00,-1.2547007695564467
3522.47,2.7917e+01,7.7754e+00,3.59042621601461
3523.24,2.9891e+01,7.8024e+00,3.8310007177278784
3524.02,1.8291e+00,7.8874e+00,0.23190151380683113
3524.79,-3.7965e+00,7.8412e+00,-0.4841733408151814
3525.57,6.6164e+00,7.5578e+00,0.8754399428405091
3526.34,-2.0422e+01,7.5496e+00,-2.7050439758397795
3527.12,2.3328e+01,7.6512e+00,3.0489335006273524
3527.89,2.7355e+01,7.6017e+00,3.5985371693173893
3528.67,3.3763e+01,7.6371e+00,4.420918935197915
3529.44,1.1722e+01,7.6734e+00,1.5276148773685718
3530.22,1.6978e+01,7.7795e+00,2.1824024680249376
3530.99,1.7528e+00,7.8980e+00,0.2219296024309952
3531.77,1.9871e+01,7.8718e+00,2.524327345715084
