SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB4,Ia 99aa-like/1999aa/MARK-III phase-band : 8.0B,0.5515115,0.6602075,0.03,1.6,8.0,B,0.24837352,0.7516265,5.5762324,0.011219784
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,Ia-norm/2013dy/HET-LRS phase-band : -5.74B,0.38035858,0.5434975,0.02,0.8,-5.74,B,0.3200112,0.6799888,5.5372396,0.011731439
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,SLSN-I/2017egm/KAST phase-band : -1.38B,0.3708764,0.40299094,0.4,0.4,-1.38,B,0.780399,0.21960098,5.3337564,0.012040082
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,S0,II-flash/iPTF14flu_early/LRIS phase-band : u-,0.54298675,0.2420161,0.47,0.2,u,-,0.8882745,0.111725494,5.714864,0.012211247
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,S0,Ibn/2010al/X-Shooter phase-band : -1.18B,0.8175946,0.34354493,0.48,2.0,-1.18,B,0.72122717,0.27877283,5.5323477,0.012212688
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB1,Ia-rapid/2002bj/LRIS phase-band : 6.31B,0.46245173,0.6716545,0.13,2.0,6.31,B,0.12441831,0.8755817,5.631564,0.012242531
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB1,II-flash/2014cn_early/GMOS phase-band : 0.0B,0.19577728,0.65584594,0.14,0.2,0.0,B,0.23607476,0.76392525,5.780581,0.0123253325
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,II-flash/iPTF14flu_early/DBSP phase-band : u-,0.65274674,0.33684036,0.44,1.0,u,-,0.7934353,0.20656472,5.502334,0.012364796
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,II-flash/2016bkv_early/FLOYDS-N phase-band : -3.13B,0.20645148,0.34648722,0.41,-2.0,-3.13,B,0.9217773,0.07822268,5.4198313,0.012374043
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,II-flash/2016bkv_early/FLOYDS-N phase-band : -2.27B,0.38967228,0.31488174,0.41,-0.4,-2.27,B,0.8709926,0.12900738,5.4785714,0.012508153
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,II-flash/2013fs_early/EFOSC2-NTT phase-band : -0.76B,0.82048786,0.39242545,0.42,0.6,-0.76,B,0.77078956,0.22921045,5.338224,0.012531042
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB1,Ia-norm/2013dy/HET-LRS phase-band : 6.24B,0.15095106,0.75613195,0.13,2.0,6.24,B,0.06312054,0.93687946,5.3479114,0.012553783
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,S0,SLSN-Ib/2010md/DBSP phase-band : -32.0B,0.98899716,0.33738983,0.49,2.0,-32.0,B,0.7363793,0.26362064,5.846663,0.012573469
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,II-flash/2016bkv_early/FLOYDS-N phase-band : 0.81B,0.28226528,0.24882458,0.42,-1.6,0.81,B,0.93869925,0.06130074,5.580796,0.012626234
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,Ia-norm/2013dy/DEIMOS phase-band : -15.38B,0.5720564,0.6490736,0.04,2.0,-15.38,B,0.14104389,0.8589561,5.520291,0.012690323
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB1,SLSN-I/2017egm/SPRAT phase-band : -10.67B,0.371497,0.7068172,0.14,2.0,-10.67,B,0.10538972,0.8946103,5.535499,0.012725285
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,IIb/2011fu/ISIS phase-band : -18.0B,0.50036484,0.495556,0.36,1.2,-18.0,B,0.29745266,0.7025473,5.967972,0.012752077
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB1,II/2013ej/HET-LRS phase-band : -2.61B,0.17660967,0.75830805,0.13,2.0,-2.61,B,0.061394494,0.9386055,5.425561,0.012766026
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,IIb-flash/2013cu_early/AFOSC phase-band : -1.06V,0.30421928,0.536708,0.2,-0.6,-1.06,V,0.43154705,0.56845295,6.003081,0.0128270965
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,SLSN-II/CSS121015/AFOSC phase-band : -7.0B,1.6181936,0.44944644,0.45,1.8,-7.0,B,0.6718117,0.3281883,5.6974597,0.012832116
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,II/2012aw/DOLORES phase-band : -3.88B,0.7605696,0.41099006,0.44,1.6,-3.88,B,0.7025337,0.29746625,5.6977983,0.012861848
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,IIb/2013df/DEIMOS phase-band : -14.0B,0.3460367,0.68715656,0.06,1.8,-14.0,B,0.11510323,0.88489676,5.4739943,0.012879986
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,S0,IIb/2013cu/LRIS phase-band : -0.62V,0.46773762,0.39395455,0.47,1.0,-0.62,V,0.76162785,0.23837213,5.874615,0.012882928
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,II/2016esw/KAST phase-band : -0.42B,0.39811197,0.3905543,0.2,0.2,-0.42,B,0.5326404,0.46735963,6.3766446,0.012908187
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB1,Ic/2004gt/LRIS phase-band : 57.59B,0.5358061,0.6334211,0.13,2.0,57.59,B,0.15505144,0.84494853,6.080918,0.012910653
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB1,SLSN-I/2017egm/SPRAT phase-band : -5.69B,0.36157623,0.70690864,0.14,2.0,-5.69,B,0.10531456,0.89468545,5.625863,0.012933018
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB1,Ia-norm/2013dy/HET-LRS phase-band : 15.45B,0.14605218,0.75799775,0.13,2.0,15.45,B,0.06164236,0.93835765,5.5338163,0.0129901795
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,SB2,TDE H/ASASSN-14ae/DIS phase-band : -7.0B,0.4815337,0.5554257,0.35,1.8,-7.0,B,0.19183801,0.808162,5.766049,0.013015912
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN_binned.txt,E,SLSN-I/PTF12dam/KAST phase-band : -22.0B,0.6028302,0.40643653,0.41,1.2,-22.0,B,0.7312963,0.26870373,5.9454026,0.013038164
