SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,E,Ibn/2005la/DEIMOS phase-band : -1.35B,0.13474046,0.78863335,0.086,-2.0,-1.35,B,0.5491349,0.4508651,6.7707176,0.014436498
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,S0,TDE H+He/2016fnl/DBSP phase-band : -1.04g,0.6007738,0.81729,0.15,2.0,-1.04,g,0.19372395,0.806276,6.785806,0.014561815
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,E,IIb/2013df/HET-LRS phase-band : -8.0B,0.31308368,0.9209275,0.088,2.0,-8.0,B,0.10867922,0.89132077,6.463738,0.014590831
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,S0,II-flash/2014cn_early/GMOS phase-band : 0.0B,0.19159703,0.9256576,0.146,0.6,0.0,B,0.2104945,0.7895055,6.830286,0.01462588
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,E,II/2013ej/HET-LRS phase-band : -2.61B,0.21744151,0.9539863,0.088,2.0,-2.61,B,0.093406506,0.9065935,6.496848,0.014665572
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,E,Ia-norm/2013dy/HET-LRS phase-band : -5.74B,0.23184814,0.9480399,0.088,2.0,-5.74,B,0.09623968,0.9037603,6.510957,0.0146974195
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,SB5,Ia 91bg-like/2005bl/FORS2 phase-band : 31.13B,0.052226327,0.9271876,0.116,-2.0,31.13,B,0.24522114,0.75477886,6.5115185,0.014698687
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,E,IIb/2013df/HET-LRS phase-band : -1.0B,0.3762547,0.8986328,0.088,2.0,-1.0,B,0.117874905,0.8821251,6.5140543,0.014704412
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,Sa,Ia 91T-like/1991T/UV-Schmidt phase-band : 112.0B,0.15039086,0.9351852,0.092,2.0,112.0,B,0.06634001,0.93366,6.904019,0.014720722
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,S0,Ia 99aa-like/1999aa/MARK-III phase-band : 8.0B,0.20235427,0.9313044,0.126,0.6,8.0,B,0.18203624,0.8179638,6.8676605,0.014737469
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,Sa,Ia 99aa-like/1999aa/LRIS phase-band : 285.0B,0.13927656,0.95923334,0.086,2.0,285.0,B,0.051065605,0.9489344,6.899893,0.014743361
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,SB5,IIb/2013df/HET-LRS phase-band : 14.0B,0.045999102,0.9136298,0.088,-1.6,14.0,B,0.20505032,0.7949497,6.5331855,0.014747596
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,S0,TDE H+He/ASASSN-14li/DIS phase-band : 9.91B,0.12220723,0.9976733,0.142,2.0,9.91,B,0.10096713,0.8990329,6.9207997,0.014756503
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,Sa,Ia-norm/2013dy/HET-LRS phase-band : 15.45B,0.09534157,0.9672734,0.088,2.0,15.45,B,0.045471314,0.9545287,6.542111,0.014767745
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,SB5,II/2012aw/HET-LRS phase-band : 356.26B,0.03031146,0.967093,0.086,0.6,356.26,B,0.03176134,0.96823865,6.5393043,0.014794806
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,E,Ic-BL/2006aj/FORS2 phase-band : 3.04B,0.2841575,0.92402047,0.054,2.0,3.04,B,0.083308,0.916692,6.6000695,0.014798363
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,S0,Ibn/2010al/DBSP phase-band : -8.18B,0.2997165,0.9214462,0.148,2.0,-8.18,B,0.14596584,0.8540342,6.988719,0.014806608
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,Sa,Ia-pec/2013bh/HET-LRS phase-band : 19.0V,0.14112423,0.9445395,0.092,2.0,19.0,V,0.06364846,0.93635154,6.9494596,0.014817611
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,S0,II-flash/iPTF15crj_early/GMOS phase-band : u-,0.4291744,0.8811465,0.14,2.0,u,-,0.15686786,0.84313214,6.9811354,0.014821943
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,S0,Ia-pec/2013bh/HET-LRS phase-band : -2.0V,0.25667205,0.90276694,0.094,2.0,-2.0,V,0.10676371,0.8932363,6.9534974,0.01482622
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,Sa,Ia-pec/2013bh/HET-LRS phase-band : 3.0V,0.16001527,0.92939585,0.094,2.0,3.0,V,0.07243809,0.92756194,6.971221,0.014864011
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,Sa,Ia-pec/2013bh/HET-LRS phase-band : 13.0V,0.097966604,0.9432384,0.094,2.0,13.0,V,0.0661647,0.93383527,6.9730115,0.014867828
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,E,II/1999em/LRIS phase-band : 8.0B,0.24358705,0.9198197,0.074,2.0,8.0,B,0.10684294,0.89315706,6.9310365,0.014873468
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,S0,Ia 99aa-like/1999aa/DIS phase-band : -6.0B,0.09291296,0.8897673,0.15,-0.8,-6.0,B,0.35795537,0.64204466,7.11572,0.0148864435
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,Sa,Ia-rapid/2002bj/LRIS phase-band : 6.31B,0.22329251,0.8868347,0.084,1.0,6.31,B,0.13048229,0.8695177,7.133687,0.014924032
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,S0,SLSN-I/2015bn/IMACS phase-band : 37.34B,0.44640914,0.89333713,0.13,2.0,37.34,B,0.14521743,0.8547826,6.9595704,0.014934701
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,E,Ia-norm/2013dy/HET-LRS phase-band : 6.24B,0.20914277,0.9354415,0.098,2.0,6.24,B,0.10901107,0.89098895,6.557309,0.014936923
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,SB5,Ic-BL/2002ap/LRIS phase-band : 29.0B,0.12896264,0.8993588,0.116,-0.6,29.0,B,0.17477266,0.8252273,6.889121,0.014943863
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,SB5,Ic-BL/PTF10vgv/HET-LRS phase-band : 2.0R,0.023232814,0.94757456,0.086,-1.6,2.0,R,0.13119015,0.8688098,6.6222606,0.014948669
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,SB5,Ia-02cx like/2005hk/DEIMOS phase-band : 52.32B,0.07221801,0.9312446,0.118,-0.6,52.32,B,0.13020423,0.86979574,6.959775,0.014967258
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,SB5,II/1999em/LRIS phase-band : 35.0B,0.04806274,0.9005919,0.082,-2.0,35.0,B,0.24954252,0.75045747,6.9452767,0.014968269
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,SB5,ILRT/PTF10fqs/HET-LRS phase-band : 6.0g,0.2334137,0.9155702,0.102,1.6,6.0,g,0.05909307,0.94090694,6.6312084,0.014968868
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,S0,Ic/2004gt/LRIS phase-band : 57.59B,0.43165016,0.8936005,0.138,2.0,57.59,B,0.14497045,0.8550295,7.0066533,0.014971482
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,SB5,Ia-norm/2007sr/BC-duPont phase-band : 20.0B,0.034505077,0.9220567,0.098,-2.0,20.0,B,0.21683304,0.78316694,6.6593995,0.015032505
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,Sa,II-flash/iPTF14flu_early/DEIMOS phase-band : u-,0.11379609,0.94751334,0.05,2.0,u,-,0.033964325,0.96603566,6.584409,0.015032898
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,SB5,ILRT/PTF10fqs/HET-LRS phase-band : -6.0g,0.12826611,0.8304774,0.016,-0.2,-6.0,g,0.15912202,0.84087795,7.00795,0.015038519
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,Sb,SLSN-I/2015bn/GMOS phase-band : 438.34B,0.14709266,0.9218714,0.016,2.0,438.34,B,0.042208828,0.95779115,7.07436,0.015083923
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,SB5,Ib/2008D/LRIS phase-band : 135.69B,0.03205821,0.9629879,0.104,-1.0,135.69,B,0.08591133,0.91408867,7.0345564,0.015095615
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,SB5,Ia-norm/2009Y/WFCCD phase-band : 43.36B,0.042614106,0.96547425,0.146,-1.8,43.36,B,0.18232939,0.8176706,7.066071,0.015098442
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,SB5,Ib/2004gq/LRIS phase-band : 56.4B,0.24329242,0.8929859,0.112,1.0,56.4,B,0.09341549,0.9065845,7.221184,0.015107079
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,SB5,Ib/2005bf/WFCCD phase-band : 29.0B,0.027972793,1.0017377,0.15,-1.8,29.0,B,0.113877006,0.886123,7.0647426,0.015127928
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,E,Ic-BL/2006aj/FORS2 phase-band : 11.01B,0.26934606,0.923828,0.04,2.0,11.01,B,0.07139698,0.92860305,6.7048407,0.015135081
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,SB5,Ia 02es-like/iPTF14atg/GMOS phase-band : 90.92B,0.042097665,0.95292413,0.124,-1.4,90.92,B,0.14401558,0.85598445,7.264939,0.015198616
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,SB5,Ia-02cx like/2002cx/LRIS phase-band : 54.28B,0.0357167,0.9279,0.08,-2.0,54.28,B,0.19396023,0.80603975,6.7188177,0.015200945
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,SB5,Ib/2014C/KAST phase-band : 10.34B,0.0748882,0.8526367,0.0,-1.0,10.34,B,0.17753033,0.82246965,6.7272706,0.015220069
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,Sb,Ib/2015ah/DEIMOS phase-band : 153.0B,0.09982082,0.941392,0.012,2.0,153.0,B,0.026416294,0.9735837,6.7495117,0.015235918
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,S0,Ia-norm/2013dy/DEIMOS phase-band : -15.38B,0.12948388,0.93170285,0.02,2.0,-15.38,B,0.03430297,0.96569705,6.7676806,0.015276932
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,S0,IIb/2013df/DEIMOS phase-band : -14.0B,0.10040107,0.9375178,0.02,2.0,-14.0,B,0.031838425,0.9681616,6.7694902,0.015281016
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,S0,II/2013ej/DEIMOS phase-band : -1.15B,0.102670394,0.9483124,0.026,2.0,-1.15,B,0.028923446,0.97107655,6.7835684,0.0153127955
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,Sb,IIb/2008aq/KAST phase-band : -5.28B,0.113990225,0.917566,0.0,2.0,-5.28,B,0.032387763,0.96761227,7.0496182,0.0153586455
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_binned.txt,S0,IIb/2013cu/DEIMOS phase-band : 62.0V,0.118823,0.9176232,0.0,2.0,62.0,V,0.027008679,0.97299135,7.109764,0.0153891
