SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB2,Ia-norm/2011by/KAST phase-band : 5.25B,0.86633533,0.3978819,0.026,2.0,5.25,B,0.4728685,0.5271315,16.935833,0.031246923
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB1,Ia-norm/2011by/KAST phase-band : -2.77B,0.7366049,0.30520752,0.028,1.0,-2.77,B,0.65588087,0.34411916,17.016521,0.031337976
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB4,Ia-norm/2011fe/STIS phase-band : 2.81B,0.058781873,0.37299928,0.026,2.0,2.81,B,0.5454842,0.4545158,17.579416,0.03225581
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,Ia-norm/2011by/KAST phase-band : -4.75B,0.72563696,0.04108278,0.028,0.0,-4.75,B,0.9734384,0.026561605,17.53176,0.03228685
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB2,Ia-norm/2012ht/KAST phase-band : 2.3B,0.7654551,0.40972382,0.028,2.0,2.3,B,0.46199024,0.53800976,17.886988,0.03300182
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,Sb,super_chandra/2009dc/KAST phase-band : -6.52B,0.86219466,0.07559523,0.028,0.2,-6.52,B,0.9447836,0.055216383,18.094286,0.033200525
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB4,Ia-norm/2011fe/STIS phase-band : -0.47B,0.054569554,0.32674304,0.028,0.8,-0.47,B,0.6765068,0.3234932,18.114347,0.033237334
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,Ia-norm/2012cg/KAST phase-band : -5.5B,1.115104,0.11021765,0.032,1.2,-5.5,B,0.89677775,0.103222266,18.059902,0.033444263
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,E,Ia-norm/2011by/KAST phase-band : -10.76B,1.1717376,0.088394284,0.034,1.2,-10.76,B,0.9162965,0.08370353,18.391088,0.03399462
T2m3ws-20220919.091424-0028.p12_SN_binned.txt,SB1,Ia-norm/1994D/KAST phase-band : -2.8B,0.5954477,0.15244514,0.03,-0.4,-2.8,B,0.870946,0.129054,18.707394,0.03432549
