Wavelength,Flux,Error
3502.32,-8.6208e+00,8.9378e+00
3503.10,1.2493e-01,8.8528e+00
3503.87,-2.8602e+00,8.8439e+00
3504.65,2.9621e+00,8.7433e+00
3505.42,1.9002e+01,8.5327e+00
3506.20,-3.6366e+00,8.3667e+00
3506.97,1.8403e+01,8.4676e+00
3507.75,1.0423e+01,8.3981e+00
3508.52,-5.4125e+00,8.2852e+00
3509.30,8.3506e+00,8.3775e+00
3510.07,2.4797e+00,8.7162e+00
3510.85,-8.6684e+00,8.5310e+00
3511.62,-5.3168e+00,8.1984e+00
3512.40,-8.3755e+00,8.0147e+00
3513.17,2.1609e+01,8.1256e+00
3513.95,1.3396e+01,8.3044e+00
3514.72,-8.7797e+00,8.2606e+00
3515.50,9.5943e+00,8.3130e+00
3516.27,1.0253e+01,8.1705e+00
3517.05,2.1339e+00,8.2009e+00
3517.82,2.2488e+00,8.1323e+00
3518.60,2.7785e+00,8.1386e+00
3519.37,-3.1495e+00,8.1821e+00
3520.15,-1.1568e+01,8.0661e+00
3520.92,-2.3445e+01,7.8312e+00
3521.69,5.6889e-01,7.7694e+00
3522.47,-2.7441e+00,8.0678e+00
3523.24,2.0073e+00,7.8997e+00
3524.02,7.5269e+00,7.7528e+00
3524.79,4.7593e+00,7.6447e+00
3525.57,1.3355e+01,7.6605e+00
3526.34,-6.7126e+00,7.4114e+00
3527.12,3.3156e+00,7.4934e+00
3527.89,-4.1390e+00,7.6110e+00
3528.67,-1.1800e-01,7.6224e+00
3529.44,7.8488e+00,7.6965e+00
3530.22,-3.2183e+00,7.7318e+00
3530.99,-5.9899e+00,7.6911e+00
3531.77,8.6850e+00,7.4512e+00
3532.54,2.9090e+00,7.2884e+00
3533.32,-1.7637e+00,7.0774e+00
3534.09,2.8331e+00,7.1613e+00
3534.87,-1.6702e+01,7.2463e+00
3535.64,-4.3940e+00,7.2986e+00
3536.42,-1.3700e+00,7.3061e+00
3537.19,1.2333e+00,7.2145e+00
3537.97,1.1479e+01,7.2542e+00
3538.74,-6.2102e+00,7.3351e+00
3539.52,-7.0188e+00,7.2526e+00
3540.29,5.0517e+00,7.2543e+00
3541.07,-1.5974e+01,7.2955e+00
3541.84,-2.1825e+00,7.0094e+00
3542.62,9.7362e+00,6.9752e+00
3543.39,-1.1986e+00,6.9244e+00
3544.16,-3.7949e+00,7.0097e+00
3544.94,4.5136e+00,7.1540e+00
3545.71,-7.7025e-02,7.1021e+00
3546.49,3.2375e+00,7.1558e+00
3547.26,-9.1813e+00,7.1076e+00
3548.04,1.6412e+00,7.2073e+00
3548.81,-4.3789e+00,7.2849e+00
3549.59,-9.0548e+00,7.3196e+00
3550.36,-4.4380e+00,7.3583e+00
3551.14,-9.1056e+00,7.1985e+00
3551.91,1.7110e+00,7.3164e+00
3552.69,4.5292e-01,7.4201e+00
3553.46,-8.2758e+00,7.4564e+00
3554.24,3.0966e+00,7.4395e+00
3555.01,3.9672e+00,7.3233e+00
3555.79,6.2502e+00,6.9869e+00
3556.56,4.3064e+00,7.0526e+00
3557.34,3.5779e+00,7.0374e+00
3558.11,6.2774e+00,6.9985e+00
3558.89,7.9054e+00,6.8855e+00
3559.66,-4.5072e+00,6.7560e+00
3560.44,1.3635e+01,6.8108e+00
3561.21,2.8446e+00,6.9750e+00
3561.99,-4.1315e-01,6.7532e+00
3562.76,-1.5440e+01,6.9395e+00
3563.54,-1.2287e+01,6.9887e+00
3564.31,4.9681e+00,6.8775e+00
3565.08,1.2173e+01,6.8214e+00
3565.86,-6.6619e-01,6.7321e+00
3566.63,1.2898e+01,6.7010e+00
3567.41,-5.1479e+00,6.7324e+00
3568.18,6.9388e+00,6.8743e+00
3568.96,9.8322e+00,6.8447e+00
3569.73,-3.5400e+00,6.5780e+00
3570.51,-2.3649e+00,6.4400e+00
3571.28,2.4782e+00,6.4384e+00
3572.06,-8.1081e+00,6.5765e+00
3572.83,3.5685e+00,6.5238e+00
3573.61,-1.4545e+01,6.5167e+00
3574.38,7.2639e+00,6.7308e+00
3575.16,6.1761e+00,6.3860e+00
3575.93,-1.9106e+00,6.4339e+00
3576.71,3.6919e+00,6.2725e+00
3577.48,5.6565e+00,6.1112e+00
3578.26,-2.5480e+00,6.1481e+00
3579.03,5.5751e+00,6.3250e+00
3579.81,2.6624e+00,6.1180e+00
3580.58,1.2766e+01,6.1917e+00
3581.36,-7.3121e+00,6.2690e+00
3582.13,7.6711e-02,6.1927e+00
3582.91,6.1299e+00,6.1789e+00
3583.68,-5.1918e+00,6.1659e+00
3584.46,-7.8071e+00,6.2187e+00
