Wavelength,Flux,Error
3503.10,2.2774e+01,1.1701e+01
3503.87,4.3256e+01,1.2062e+01
3504.65,2.6704e+01,1.1719e+01
3505.42,1.9450e+01,1.1406e+01
3506.20,1.1064e+01,1.1317e+01
3506.97,-1.8660e+01,1.1122e+01
3507.75,-1.1975e+01,1.1263e+01
3508.52,2.2609e+01,1.1300e+01
3509.30,1.0521e+01,1.1229e+01
3510.07,2.3795e+01,1.0982e+01
3510.85,1.8176e+01,1.0758e+01
3511.62,-2.1339e+01,1.0929e+01
3512.40,3.1008e+00,1.1196e+01
3513.17,3.6390e+01,1.1029e+01
3513.95,1.6072e+01,1.0824e+01
3514.72,2.0006e+01,1.0825e+01
3515.50,3.2532e+01,1.0711e+01
3516.27,2.1802e+01,1.0410e+01
3517.05,-2.9383e+01,1.0594e+01
3517.82,1.1989e+01,1.0668e+01
3518.60,2.5205e+01,1.0221e+01
3519.37,1.1116e+00,1.0127e+01
3520.15,-4.0179e+00,1.0089e+01
3520.92,-2.3605e+01,1.0087e+01
3521.70,-2.2334e+01,1.0140e+01
3522.47,3.2942e+01,1.0386e+01
3523.25,2.1898e+01,1.0335e+01
3524.02,3.3930e+01,1.0122e+01
3524.80,3.7452e+00,9.9424e+00
3525.57,-2.0773e+01,9.8021e+00
3526.35,-7.6622e+00,9.7555e+00
3527.12,-4.9759e-01,9.8187e+00
3527.90,2.1310e+01,9.8083e+00
3528.67,1.1896e+01,9.7140e+00
3529.45,3.2599e+01,9.6321e+00
3530.22,9.9317e+00,9.7662e+00
3531.00,1.1791e+01,9.8129e+00
3531.77,3.0050e+01,9.6472e+00
3532.55,1.8602e+01,9.5367e+00
3533.32,6.7177e+00,9.5247e+00
3534.10,7.8696e-01,9.6041e+00
3534.87,3.1597e+00,9.3946e+00
3535.65,-6.8041e+00,9.4084e+00
3536.42,1.2147e+01,9.2954e+00
3537.20,1.7020e+01,9.4254e+00
3537.97,2.6317e+01,9.5413e+00
3538.75,7.0645e+00,9.5841e+00
3539.52,4.7403e+00,9.5111e+00
3540.30,5.2860e+00,9.4350e+00
3541.07,3.3422e+01,9.1247e+00
3541.85,3.9887e+01,9.5495e+00
3542.62,1.8367e+01,9.7592e+00
3543.40,4.7148e-01,9.8161e+00
3544.17,-1.0971e+01,9.5041e+00
3544.95,-1.7225e+01,9.1880e+00
3545.72,4.0124e+01,9.2799e+00
3546.50,3.5542e+01,9.3852e+00
3547.27,1.9831e+01,9.4390e+00
3548.05,2.3492e+01,9.3202e+00
3548.82,-5.4330e+00,9.3173e+00
3549.60,-8.7583e+00,9.4457e+00
3550.37,1.8417e+01,9.4823e+00
3551.15,2.4206e+01,9.2024e+00
3551.92,3.5004e+01,9.0721e+00
3552.70,6.4582e+00,9.0580e+00
3553.47,-1.5390e+01,9.0223e+00
3554.25,-5.7482e+00,8.9848e+00
3555.02,2.4680e+01,8.9910e+00
3555.80,2.7228e+01,8.9206e+00
3556.57,1.7215e+01,8.9384e+00
3557.35,1.1457e+01,8.9451e+00
3558.12,-9.0831e+00,9.0179e+00
3558.90,-1.4243e+01,9.0429e+00
3559.67,3.6345e+01,8.9579e+00
3560.45,4.3258e+01,8.9676e+00
3561.22,2.8752e+01,9.0214e+00
3562.00,1.3420e+00,8.9531e+00
3562.77,-1.5162e+01,8.8383e+00
3563.55,2.4290e+01,9.0570e+00
3564.32,2.2450e+01,9.1283e+00
3565.10,4.4232e+01,8.8569e+00
3565.87,1.4776e+01,8.6659e+00
3566.65,1.9533e+01,8.6573e+00
3567.42,6.4527e+00,8.8231e+00
3568.20,1.6262e+00,8.9522e+00
3568.97,2.9957e+01,8.8761e+00
3569.75,1.7987e+01,8.8193e+00
3570.52,3.2860e+01,8.7551e+00
3571.30,1.2071e+01,8.7307e+00
3572.07,-4.3065e+00,8.6958e+00
3572.85,3.2230e+00,8.6843e+00
3573.62,4.2829e+01,8.5655e+00
3574.40,2.4680e+01,8.3903e+00
3575.17,1.4459e+01,8.3690e+00
3575.94,2.2722e+01,8.2708e+00
3576.72,8.9030e-01,8.2603e+00
3577.49,-1.5015e+00,8.2103e+00
3578.27,2.8445e+01,8.2140e+00
3579.04,2.6106e+01,8.2960e+00
3579.82,2.5748e+01,8.4340e+00
3580.59,-3.4304e+00,8.4038e+00
3581.37,-3.0015e+00,8.2296e+00
3582.14,7.7537e+00,8.1452e+00
3582.92,3.4554e+01,8.0966e+00
3583.69,3.6655e+01,7.8871e+00
