file,date,time,pipeline,metadata
T2m3ws-20230106.103716-0035.p12_SN,07/01/2023,00:57:27,v01,m01
T2m3ws-20220718.104325-0330.p12_SN,19/07/2022,02:01:05,v01,m01
T2m3ws-20220913.164125-0160.p12_SN,14/09/2022,04:46:41,v01,m01
T2m3ws-20220709.152359-0515.p12_SN,12/07/2022,05:33:08,v01,m01
T2m3ws-20211211.140637-0072.p12_SN,15/12/2021,09:39:18,v01,m01
T2m3ws-20211025.173637-0119.p12_SN,26/10/2021,05:26:29,v01,m01
T2m3ws-20220426.123220-0026.p12_SN,07/05/2022,00:20:37,v01,m01
T2m3ws-20220820.162335-0144.p12_SN,21/08/2022,07:25:41,v01,m01
T2m3ws-20220716.124920-0226.p12_SN,17/07/2022,05:19:07,v01,m01
T2m3ws-20211009.165150-0126.p12_SN,10/10/2021,00:11:10,v01,m01
T2m3ws-20210914.183939-0190.p12_SN,20/11/2021,12:58:58,v01,m01
T2m3ws-20210915.180232-0377.p12_SN,20/11/2021,10:01:12,v01,m01
T2m3ws-20211115.143731-0071.p12_SN,16/11/2021,06:06:05,v01,m01
T2m3ws-20220509.160759-0079.p12_SN,11/05/2022,05:30:59,v01,m01
T2m3ws-20211025.161147-0116.p12_SN,26/10/2021,01:22:18,v01,m01
T2m3ws-20211115.125303-0067.p12_SN,16/11/2021,06:03:36,v01,m01
T2m3ws-20211026.115233-0056.p12_SN,27/10/2021,02:10:29,v01,m01
T2m3ws-20211008.175054-0082.p12_SN,09/10/2021,10:14:01,v01,m01
T2m3ws-20210915.170157-0375.p12_SN,20/11/2021,11:13:14,v01,m01
T2m3ws-20220817.141216-0035.p12_SN,18/08/2022,03:14:15,v01,m01
T2m3ws-20211026.131800-0059.p12_SN,27/10/2021,02:14:02,v01,m01
T2m3ws-20211114.171319-0065.p12_SN,15/11/2021,12:35:32,v01,m01
T2m3ws-20211026.144018-0062.p12_SN,27/10/2021,02:15:33,v01,m01
T2m3ws-20211024.160134-0093.p12_SN,25/10/2021,08:43:22,v01,m01
T2m3ws-20211007.173121-0040.p12_SN,20/11/2021,07:14:14,v01,m01
T2m3ws-20210914.175245-0188.p12_SN,20/11/2021,10:35:58,v01,m01
T2m3ws-20210926.131058-0069.p12_SN,18/10/2021,03:27:07,v01,m01
T2m3ws-20210916.162835-0478.p12_SN,20/11/2021,09:39:03,v01,m01
T2m3ws-20220502.145631-0027.p12_SN,07/05/2022,08:10:23,v01,m01
T2m3ws-20211114.144003-0059.p12_SN,15/11/2021,11:45:03,v01,m01
T2m3ws-20210922.165306-0008.p12_SN,10/10/2021,01:27:08,v01,m01
T2m3ws-20221104.110100-0036.p12_SN,05/11/2022,06:33:57,v01,m01
T2m3ws-20220912.124224-0060.p12_SN,13/09/2022,03:40:40,v01,m01
T2m3ws-20220905.185818-0048.p12_SN,06/09/2022,09:11:46,v01,m01
T2m3ws-20211016.171517-0119.p12_SN,17/10/2021,03:03:46,v01,m01
T2m3ws-20210922.162607-0006.p12_SN,10/10/2021,01:26:53,v01,m01
T2m3ws-20211027.130833-0058.p12_SN,28/10/2021,08:59:06,v01,m01
T2m3ws-20220625.193305-0172.p12_SN,09/07/2022,05:21:47,v01,m01
T2m3ws-20211017.154844-0100.p12_SN,18/10/2021,01:40:20,v01,m01
OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN,16/06/2022,14:58:41,v01,m01
T2m3ws-20220428.155027-0033.p12_SN,07/05/2022,04:50:23,v01,m01
OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN,18/11/2021,15:19:07,v01,m01
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN,11/10/2022,13:33:14,v01,m01
T2m3ws-20220623.172702-0094.p12_SN,24/06/2022,10:46:37,v01,m01
T2m3ws-20210922.155908-0005.p12_SN,20/11/2021,09:20:43,v01,m01
OBK-11968-WiFeS-Splice-UT20220613T192020-4.p12_SN,18/06/2022,12:30:36,v01,m01
T2m3ws-20210914.170537-0186.p12_SN,20/11/2021,12:37:32,v01,m01
OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN,14/06/2022,15:08:53,v01,m01
T2m3ws-20210914.110126-0157.p12_SN,20/11/2021,10:57:42,v01,m01
T2m3ws-20220919.091424-0028.p12_SN,20/09/2022,04:56:06,v01,m01
OBK-14848-WiFeS-Splice-UT20220615T171540-1.p12_SN,16/06/2022,14:56:54,v01,m01
T2m3ws-20210914.143914-0180.p12_SN,20/11/2021,13:17:59,v01,m01
T2m3ws-20210915.185046-0379.p12_SN,10/10/2021,01:26:05,v01,m01
T2m3ws-20211114.131522-0056.p12_SN,15/11/2021,11:46:52,v01,m01
T2m3ws-20220917.182413-0251.p12_SN,18/09/2022,08:16:42,v01,m01
T2m3ws-20211114.114217-0053.p12_SN,15/11/2021,11:42:55,v01,m01
T2m3ws-20211214.124728-0063.p12_SN,16/12/2021,00:12:49,v01,m01
T2m3ws-20220817.153815-0038.p12_SN,18/08/2022,03:49:29,v01,m01
T2m3ws-20220913.153839-0158.p12_SN,14/09/2022,03:51:38,v01,m01
T2m3ws-20210922.150706-0003.p12_SN,20/11/2021,08:47:57,v01,m01
T2m3ws-20211115.111210-0063.p12_SN,16/11/2021,06:01:10,v01,m01
T2m3ws-20220807.104858-0027.p12_SN,09/08/2022,11:25:21,v01,m01
T2m3ws-20210922.174228-0010.p12_SN,20/11/2021,12:37:36,v01,m01
T2m3ws-20211220.130256-0059.p12_SN,21/12/2021,06:50:19,v01,m01
T2m3ws-20220715.161805-0150.p12_SN,16/07/2022,05:01:41,v01,m01
T2m3ws-20210914.162000-0184.p12_SN,20/11/2021,11:57:30,v01,m01
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN,18/06/2022,08:06:01,v01,m01
T2m3ws-20220426.103050-0024.p12_SN,05/05/2022,08:28:48,v01,m01
T2m3ws-20220817.165359-0041.p12_SN,18/08/2022,04:17:49,v01,m01
T2m3ws-20220912.134431-0062.p12_SN,13/09/2022,04:00:29,v01,m01
OBK-93376-WiFeS-Splice-UT20221013T122240-8.p12_SN,22/10/2022,07:16:35,v01,m01
T2m3ws-20210926.161749-0076.p12_SN,20/11/2021,09:03:40,v01,m01
T2m3ws-20211211.122308-0068.p12_SN,15/12/2021,09:19:18,v01,m01
T2m3ws-20210926.145254-0073.p12_SN,20/11/2021,07:14:30,v01,m01
T2m3ws-20210919.181217-0138.p12_SN,18/10/2021,02:40:06,v01,m01
