,SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
0,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,TDE H+He/ASASSN-14li/MODS1 phase-band : 85.78B,0.7389307,0.75867194,0.012,2.0,85.78,B,0.36079007,0.6392099,15.215739,0.029374015
1,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,Ibn/2006jc/HFOSC phase-band : 16.0B,0.85610396,0.6144738,0.096,2.0,16.0,B,0.4905488,0.5094512,15.100054,0.029377537
2,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,II-flash/2016bkv_early/FLOYDS-N phase-band : -3.13B,0.8497483,0.6275986,0.122,2.0,-3.13,B,0.50233746,0.49766254,15.64109,0.029400544
3,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,Ibn/2010al/KAST phase-band : -4.01B,1.3749781,0.2975744,0.074,2.0,-4.01,B,0.7307033,0.26929674,15.648893,0.029415214
4,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,S0,Ibn/2006jc/AFOSC phase-band : 3.0B,0.34673306,0.20416002,0.1,-2.0,3.0,B,0.9411264,0.058873616,15.1244755,0.02942505
5,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,II-flash/2019vqd_early/EFOSC2-NTT phase-band : u-,1.380308,0.44493958,0.036,2.0,u,-,0.6108019,0.38919815,15.665905,0.029447189
6,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,II-flash/2016bkv_early/FLOYDS-N phase-band : 0.81B,1.0722545,0.5182659,0.136,2.0,0.81,B,0.5801066,0.41989338,15.678229,0.029470356
7,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,II-flash/2016bkv_early/FLOYDS-N phase-band : -2.27B,1.14005,0.49178243,0.12,2.0,-2.27,B,0.5841169,0.41588312,15.688851,0.029490322
8,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,IIb-flash/2013cu_early/ALFOSC phase-band : -3.99V,1.245623,0.5319447,0.064,2.0,-3.99,V,0.56470716,0.43529284,15.696852,0.02950536
9,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,Ia-02cx like/2005hk/DIS phase-band : -5.9B,1.381097,0.49485815,0.072,2.0,-5.9,B,0.5541051,0.4458949,15.167792,0.029509323
10,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,Ia-02cx like/2012Z/KAST phase-band : -7.64B,1.5053401,0.32668445,0.062,2.0,-7.64,B,0.70250475,0.29749528,15.700529,0.029512271
11,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,SLSN-I/2017egm/KAST phase-band : -18.39B,1.1955929,0.52500397,0.07,2.0,-18.39,B,0.57980984,0.4201902,15.704333,0.029519424
12,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,Ia-02cx like/2012Z/KAST phase-band : -8.59B,1.5653784,0.338337,0.06,2.0,-8.59,B,0.6933389,0.30666113,15.706164,0.029522864
13,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,SLSN-I/2018bsz/FLOYDS-N phase-band : -8.52r,0.62771326,0.030224238,0.118,-1.0,-8.52,r,0.98852646,0.011473529,15.176837,0.02952692
14,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,II-flash/2013fs_early/LRIS phase-band : -4.43B,0.89157206,0.5680317,0.134,2.0,-4.43,B,0.54533064,0.4546694,15.709245,0.029528655
15,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,S0,Ibn/2006jc/LRIS phase-band : 92.52B,2.527066,0.19509219,0.13,2.0,92.52,B,0.8079408,0.19205923,15.534407,0.029533092
16,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,II-flash/2013fs_early/ALFOSC phase-band : -3.81B,1.3472114,0.47263783,0.05,2.0,-3.81,B,0.5940281,0.40597188,15.715772,0.029540924
17,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,SLSN-I/2017egm/KAST phase-band : -1.38B,0.9120575,0.49581236,0.124,2.0,-1.38,B,0.58545583,0.41454417,15.722827,0.029554186
18,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,Ia 91T-like/1991T/Other phase-band : -13.0B,1.9564382,0.40425035,0.06,2.0,-13.0,B,0.6504519,0.34954813,15.727649,0.02956325
19,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,TDE H+He/ASASSN-14li/DIS phase-band : 9.91B,0.46756265,0.84753036,0.012,2.0,9.91,B,0.3115758,0.68842417,15.314539,0.029564748
20,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,FBOT/AT2018cow/SNIFS phase-band : -22.5B,1.1755384,0.4640434,0.116,2.0,-22.5,B,0.6031023,0.39689767,15.7293825,0.029566508
21,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,TDE H+He/2019qiz/LRIS phase-band : -12.0g,1.8032472,0.2593686,0.13,2.0,-12.0,g,0.75527215,0.24472785,15.729392,0.029566526
22,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,II-flash/2013fs_early/ALFOSC phase-band : -2.79B,1.4288646,0.45761546,0.05,2.0,-2.79,B,0.60397583,0.39602414,15.734765,0.029576626
23,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,TDE H+He/ASASSN-14li/IMACS phase-band : 41.75B,1.0324717,0.64048237,0.012,2.0,41.75,B,0.43063167,0.56936836,15.321992,0.029579135
24,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,Ic/2004gt/LRIS phase-band : 57.59B,1.8346707,0.36470634,0.016,2.0,57.59,B,0.6150575,0.3849425,15.204542,0.02958082
25,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,Ibn/2010al/DBSP phase-band : -8.18B,1.1127238,0.5682482,0.036,2.0,-8.18,B,0.481329,0.51867104,15.206091,0.029583834
26,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,Ibn/PS1-12sk/ALFOSC phase-band : 3.87g,1.4255553,0.41577765,0.088,2.0,3.87,g,0.61778176,0.38221824,15.740158,0.029586764
27,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,TDE H/ASASSN-14ae/DIS phase-band : -7.0B,1.9041364,0.2400684,0.084,2.0,-7.0,B,0.7781784,0.22182159,15.744445,0.029594822
28,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,TDE H/2019ahk/EFOSC2-NTT phase-band : u-,1.619876,0.3511826,0.046,2.0,u,-,0.67970556,0.32029447,15.744728,0.029595353
29,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,Ia 99aa-like/1999aa/ALFOSC phase-band : -10.0B,1.3323612,0.5226755,0.054,2.0,-10.0,B,0.55760586,0.44239414,15.756815,0.029618073
30,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,Ia 91bg-like/2016ije/YFOSC phase-band : u-,1.9147403,0.3074767,0.082,2.0,u,-,0.7022168,0.2977832,15.758875,0.029621946
31,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,II/2016esw/KAST phase-band : 0.59B,1.2860014,0.3750227,0.086,2.0,0.59,B,0.6493522,0.35064784,15.759492,0.029623106
32,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,SLSN-I/2017egm/ALFOSC phase-band : -21.67B,0.93038636,0.5631671,0.104,2.0,-21.67,B,0.52507544,0.4749246,15.760248,0.029624525
33,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,TDE H+He/2016fnl/FLOYDS-N phase-band : 8.34g,1.9777902,0.13046335,0.118,2.0,8.34,g,0.86614203,0.13385795,15.762212,0.02962822
34,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,SLSN-I/2017egm/AFOSC phase-band : 27.27B,1.9093896,0.2725561,0.07,2.0,27.27,B,0.74773645,0.25226352,15.768016,0.029639129
35,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,II/2016esw/KAST phase-band : -0.42B,1.3667158,0.3441557,0.086,2.0,-0.42,B,0.6723669,0.3276331,15.773253,0.029648973
36,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,II/2012aw/AFOSC phase-band : 2.13B,1.4960176,0.2727349,0.114,2.0,2.13,B,0.73203564,0.26796436,15.241309,0.029652352
37,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,SLSN-I/2017egm/ALFOSC phase-band : -13.6B,0.9680582,0.53567296,0.102,2.0,-13.6,B,0.5417279,0.45827207,15.777449,0.02965686
38,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,super_chandra/2009dc/KAST phase-band : -6.52B,1.3318464,0.38357127,0.076,2.0,-6.52,B,0.6403201,0.35967985,15.779759,0.029661203
39,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,Ia-CSM/2016iks/EFOSC2-NTT phase-band : u-,1.7310987,0.4301546,0.06,2.0,u,-,0.63166505,0.36833495,15.783337,0.029667927
40,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,IIb/2008aq/LDSS-3 phase-band : 110.89B,1.3744394,0.5400171,0.026,2.0,110.89,B,0.4372439,0.56275606,15.252729,0.029674571
41,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,SLSN-I/2017egm/KAST phase-band : -0.39B,1.1255907,0.42306,0.032,2.0,-0.39,B,0.6153418,0.3846582,15.792196,0.029684579
42,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,II/2012aw/ALFOSC phase-band : -5.74B,1.6320041,0.36692762,0.04,2.0,-5.74,B,0.6610484,0.33895156,15.799743,0.029698765
43,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,SLSN-I/2015bn/EFOSC2-NTT phase-band : -28.66B,1.6543761,0.4204093,0.11,2.0,-28.66,B,0.6279504,0.37204963,15.804655,0.029707998
44,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,SLSN-I/2017egm/ALFOSC phase-band : 10.32B,1.2796276,0.42719582,0.102,2.0,10.32,B,0.6177661,0.38223392,15.808658,0.029715523
45,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,II-flash/iPTF15crj_early/ALFOSC phase-band : u-,2.155761,0.22220163,0.114,2.0,u,-,0.7802269,0.2197731,15.809864,0.02971779
46,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,S0,Ia 91bg-like/2005bl/WFCCD phase-band : -6.87B,0.799356,0.23102985,0.018,-0.8,-6.87,B,0.8754026,0.12459738,15.395946,0.029721903
47,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,TDE H/2018hyz/FLOYDS-N phase-band : 2.55B,2.0213218,0.10502019,0.14,2.0,2.55,B,0.8904531,0.10954692,15.277518,0.029722799
48,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,Ia-norm/2009Y/Other phase-band : -5.64B,0.99497956,0.64777905,0.046,1.6,-5.64,B,0.44597167,0.55402833,15.27761,0.029722976
49,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,Ia 91T-like/1991T/Other phase-band : -7.0B,0.86848605,0.59365135,0.082,2.0,-7.0,B,0.49059182,0.5094082,15.397489,0.029724881
50,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,II-flash/iPTF15crj_early/GMOS phase-band : u-,1.7801703,0.32856125,0.028,2.0,u,-,0.65513563,0.34486434,15.251724,0.029730458
51,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,E,Ia 99aa-like/1999aa/DIS phase-band : -6.0B,0.8078835,0.57629496,0.0,2.0,-6.0,B,0.48763403,0.51236594,15.817035,0.029731268
52,OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN_binned.txt,Sa,Ic-BL/2018gep/DBSP phase-band : -2.74V,1.373062,0.3968875,0.138,2.0,-2.74,V,0.65296185,0.34703818,15.817126,0.029731441
