,SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
0,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,E,Ia-norm/2009Y/Other phase-band : -5.64B,0.41080114,0.017205779,0.104,-2.0,-5.64,B,0.99477977,0.005220235,7.0695386,0.014339835
1,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,E,Ia-norm/2012cg/KAST phase-band : -8.44B,0.7291606,0.020827927,0.078,-1.2,-8.44,B,0.99133676,0.008663247,7.4230986,0.014413783
2,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB2,Ia-norm/2017erp/RSS phase-band : -16.99B,0.81494045,0.29814655,0.11,0.4,-16.99,B,0.63300914,0.36699086,7.7035637,0.015105027
3,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB1,Ic-BL/2002ap/FOSC phase-band : -5.31B,0.22415888,0.6214113,0.132,-2.0,-5.31,B,0.5381122,0.4618878,6.521338,0.015201254
4,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB1,Ia-CSM/2005gj/DEIMOS phase-band : 76.05g,1.6357495,0.3505162,0.048,2.0,76.05,g,0.44996735,0.5500326,7.690943,0.015229589
5,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB1,Ic/1994I/BC-Ekar phase-band : 2.0B,1.4378194,0.347613,0.074,2.0,2.0,B,0.43596342,0.5640366,7.763312,0.015252086
6,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB2,Ia-norm/2011fe/KAST phase-band : -16.69B,0.5428598,0.20966616,0.098,-0.6,-16.69,B,0.80721575,0.19278425,7.9372787,0.015263998
7,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,Sc,Ia-norm/2012cg/KAST phase-band : -5.5B,0.3421948,0.018854763,0.08,-2.0,-5.5,B,0.991519,0.008481025,7.9839563,0.015265691
8,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB5,Ia-norm/2011by/KAST phase-band : 5.25B,0.26324004,0.13801344,0.074,-2.0,5.25,B,0.9382908,0.061709214,8.014806,0.015266296
9,OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_binned.txt,SB2,Ia-norm/2015N/KAST phase-band : 5.39B,1.3109646,0.19026528,0.078,1.8,5.39,B,0.6510366,0.34896338,8.127918,0.015306814
