,SPECTRUM,GALAXY,SN,CONST_SN,CONST_GAL,Z,A_v,Phase,Band,Frac(SN),Frac(gal),CHI2/dof,CHI2/dof2
0,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia-norm/2012ht/KAST phase-band : 10.32B,0.18680625,0.28717643,0.066,-2.0,10.32,B,0.8287621,0.17123786,8.153259,0.015412589
1,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB1,Ia-norm/2013dy/HET-LRS phase-band : 15.45B,0.28131822,0.4272259,0.068,-0.2,15.45,B,0.54782516,0.45217484,6.9721413,0.015425092
2,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia-norm/2009Y/WFCCD phase-band : 12.36B,0.9324998,0.45924717,0.088,2.0,12.36,B,0.34281483,0.65718514,7.6278787,0.0155671
3,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia-norm/2012cg/KAST phase-band : 9.55B,0.351797,0.23986176,0.068,-1.0,9.55,B,0.80854577,0.19145426,8.264375,0.015593159
4,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB4,Ia 91T-like/2018hfr/KAST phase-band : u-,1.3537266,0.21669786,0.066,2.0,u,-,0.6337248,0.36627522,8.109556,0.015625348
5,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,SLSN-IIn/PTF10fel/HET-LRS phase-band : 12.0R,1.4731793,0.34773967,0.06,2.0,12.0,R,0.4540985,0.54590154,8.16951,0.0156504
6,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia-norm/2011by/KAST phase-band : 16.31B,0.41138217,0.35848916,0.064,0.0,16.31,B,0.60962933,0.39037067,8.333483,0.015693942
7,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia-norm/2009ig/KAST phase-band : 14.18B,0.1983574,0.30653232,0.076,-1.6,14.18,B,0.7899829,0.21001707,8.273715,0.01569965
8,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,SLSN-I/2015bn/IMACS phase-band : 37.34B,0.69045407,0.3318315,0.082,0.0,37.34,B,0.6832095,0.3167905,7.2413135,0.015741985
9,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia 99aa-like/iPTF14bdn/YFOSC phase-band : 21.18B,1.3165382,0.33441162,0.07,2.0,21.18,B,0.46194875,0.53805125,8.267567,0.015807966
10,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB1,Ic/1994I/BC-Ekar phase-band : 2.0B,1.6904328,0.20216908,0.068,2.0,2.0,B,0.61080474,0.38919523,8.080137,0.0158124
11,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB2,Ic-BL/2002ap/FOSC phase-band : -5.31B,1.4005473,0.38815776,0.144,1.6,-5.31,B,0.41222903,0.587771,6.84844,0.015816258
12,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ibn/2010al/EFOSC2-NTT phase-band : 22.82B,2.1065454,0.06331284,0.044,2.0,22.82,B,0.8661815,0.13381848,8.283656,0.015899532
13,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,S0,Ia-norm/2012fr/KAST phase-band : 8.26B,0.18876521,0.2687878,0.074,-2.0,8.26,B,0.8859805,0.114019535,8.367359,0.015907528
14,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,S0,Ia-CSM-(ambigious)/2002ic/BC-duPont phase-band : 6.0B,0.74779326,0.022686724,0.058,-1.0,6.0,B,0.9877548,0.012245166,8.308045,0.01606972
15,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB6,Ic-BL/2002ap/FAST phase-band : 0.11B,1.5537645,0.23855147,0.078,2.0,0.11,B,0.6060808,0.39391926,8.401373,0.016125476
16,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB3,Ic-BL/1998bw/DFOSC phase-band : 53.18B,1.9016542,0.20618805,0.09,2.0,53.18,B,0.64216894,0.3578311,8.574096,0.016147073
17,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ic-BL/1998bw/DFOSC phase-band : 2.0B,1.4685035,0.20037441,0.12,2.0,2.0,B,0.64885366,0.35114634,8.258547,0.01616154
18,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia-norm/2011fe/KAST phase-band : 18.26B,0.98416364,0.3513036,0.074,2.0,18.26,B,0.44279408,0.5572059,8.423377,0.016167711
19,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB6,Ic-BL/2006aj/FORS2 phase-band : 8.02B,1.5911481,0.004067822,0.146,1.2,8.02,B,0.9940359,0.0059640845,8.435401,0.016190788
20,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB1,Ic/2019bkc/RSS phase-band : 7.05g,1.9342387,0.28909263,0.09,2.0,7.05,g,0.51025575,0.48974425,7.7468176,0.016206732
21,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB3,Ia 91bg-like/2005bl/WFCCD phase-band : -6.87B,1.2420372,0.22995539,0.076,1.0,-6.87,B,0.70271343,0.2972866,8.0484705,0.016226755
22,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB6,Ic-BL/1998bw/EFOSC2-3.6 phase-band : -5.0B,0.98827875,0.1911035,0.138,1.6,-5.0,B,0.71343404,0.28656596,8.433143,0.016311686
23,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB6,Ic-BL/1998bw/DFOSC phase-band : -1.0B,1.1980684,0.15809187,0.144,1.6,-1.0,B,0.7580298,0.24197017,8.498711,0.016312305
24,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,S0,Ia 99aa-like/1999aa/MARK-III phase-band : 8.0B,0.34723815,0.28222853,0.084,-2.0,8.0,B,0.88643545,0.11356455,7.8831825,0.01635515
25,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia 91T-like/2013U/AFOSC phase-band : u-,0.50264317,0.3263985,0.104,-1.2,u,-,0.7769011,0.22309884,7.9960775,0.01641905
26,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia-norm/2017erp/RSS phase-band : -16.99B,1.2559099,0.30443716,0.106,1.8,-16.99,B,0.5267271,0.47327292,8.390388,0.016419545
27,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia-norm/2012fr/RSS phase-band : -14.19B,0.9813911,0.36367655,0.11,1.6,-14.19,B,0.4755833,0.5244167,8.390898,0.016420543
28,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sb,Ic-BL/2018gep/FLOYDS-N phase-band : 4.24V,0.67505807,0.004757351,0.142,-0.8,4.24,V,0.9974719,0.002528081,8.366291,0.01643672
29,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB3,Ic/2014L/BFOSC phase-band : -9.0B,1.9298128,0.21556257,0.03,2.0,-9.0,B,0.6444999,0.35550013,8.399746,0.016502447
30,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,SB2,II/iPTF14flu/ALFOSC phase-band : u-,1.8136209,0.064116314,0.134,1.8,u,-,0.85725635,0.14274365,8.764844,0.016537443
31,T2m3ws-20210915.170157-0375.p12_SN_binned.txt,Sc,Ia-pec/2000cx/KAST phase-band : 5.0B,0.28073883,0.28653893,0.11,-0.6,5.0,B,0.7430277,0.25697234,8.741899,0.016588043
