no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
1,sn1998es,Ia-91T,0.7839,11.69,0.0452,0.005,-7.3,0,good
2,sn1999aa,Ia-91T,0.9395,10.01,0.0406,0.0058,1.8,0,good
3,sn1998es,Ia-91T,0.7703,10.0,0.0466,0.0057,-8.4,0,good
4,sn1999aa,Ia-91T,0.727,9.68,0.0455,0.0056,-6.1,0,good
5,sn1998es,Ia-91T,0.7419,9.68,0.0442,0.0057,-6.4,0,good
6,sn1999aa,Ia-91T,0.7256,9.46,0.0441,0.0058,-4.1,0,good
7,sn1998es,Ia-91T,0.7324,9.07,0.0437,0.006,-5.4,0,good
8,sn2007S,Ia-91T,0.7405,8.91,0.0458,0.0065,-4.7,0,good
9,sn1999dq,Ia-91T,0.9395,8.9,0.0484,0.0067,-9.4,0,good
10,sn1990N,Ia-norm,0.8258,8.89,0.0533,0.0072,-7.4,0,good
11,sn1999aa,Ia-91T,0.7459,8.87,0.0441,0.0064,-3.1,0,good
12,sn1998es,Ia-91T,0.7365,8.81,0.0431,0.0062,-4.4,0,good
13,sn2006oa,Ia-91T,0.7324,8.72,0.048,0.007,-4.7,0,good
14,sn1999aa,Ia-91T,0.7256,8.68,0.0465,0.0063,-7.1,0,good
15,sn1999aa,Ia-91T,0.7297,8.59,0.045,0.0063,-5.1,0,good
16,sn2006cz,Ia-91T,0.7446,8.55,0.0473,0.007,-3.9,0,good
17,sn2005eq,Ia-91T,0.7432,8.4,0.0445,0.0067,-5.4,0,good
18,sn1998es,Ia-91T,0.7324,8.36,0.0428,0.0064,-3.4,0,good
19,sn2005M,Ia-91T,0.7392,8.34,0.0363,0.0068,-2.7,0,good
20,sn2005eq,Ia-91T,0.7405,8.17,0.0475,0.0069,-8.3,0,good
21,sn2006oa,Ia-91T,0.7297,8.12,0.0455,0.0075,-2.0,0,good
22,sn2006oa,Ia-91T,0.7297,8.07,0.0435,0.0079,-0.1,0,good
23,sn1999ee,Ia-norm,0.9395,8.07,0.0552,0.0081,-7.2,0,good
24,sn2005eq,Ia-91T,0.7446,8.06,0.0428,0.0069,-3.5,0,good
25,sn1998es,Ia-91T,0.7365,8.04,0.0423,0.0067,-2.4,0,good
26,sn2007S,Ia-91T,0.7419,8.04,0.0447,0.007,-3.7,0,good
27,sn2003hu,Ia-91T,0.6999,7.93,0.0365,0.0067,8.4,0,good
28,sn2005M,Ia-91T,0.7405,7.93,0.0364,0.0072,-1.7,0,good
29,sn2005eu,Ia-norm,0.7459,7.89,0.0379,0.0084,8.3,0,good
30,sn1999aa,Ia-91T,0.7243,7.69,0.0472,0.0071,-8.0,0,good
31,sn2001eh,Ia-91T,0.9395,7.65,0.0463,0.0083,-4.9,0,good
32,sn1999gp,Ia-91T,0.6972,7.61,0.05,0.0079,-4.8,0,good
33,sn1991T,Ia-91T,0.9395,7.57,0.0421,0.0074,-1.5,0,good
34,sn2006cj,Ia-norm,0.7202,7.52,0.0409,0.0084,5.4,0,good
35,sn2003du,Ia-norm,0.8664,7.45,0.048,0.008,-6.1,0,good
36,sn2001eh,Ia-91T,0.9395,7.42,0.0469,0.0086,-5.9,0,good
37,sn2006cz,Ia-91T,0.7446,7.34,0.0463,0.0082,-2.0,0,good
38,sn1999ee,Ia-norm,0.9368,7.33,0.0604,0.0089,-9.1,0,good
39,sn2001V,Ia-91T,0.7744,7.23,0.0541,0.0079,-12.3,0,good
40,sn1999ee,Ia-norm,0.9395,7.23,0.047,0.0089,-0.2,0,good
41,sn2005cf,Ia-norm,0.9395,7.22,0.0524,0.0088,-5.5,0,good
42,sn1999aa,Ia-91T,0.7297,7.21,0.0488,0.0075,-9.0,0,good
43,sn2007S,Ia-91T,0.7378,7.17,0.0438,0.0078,-2.7,0,good
44,sn2006oa,Ia-91T,0.7311,7.16,0.0468,0.0085,-3.8,0,good
45,sn2003fa,Ia-91T,0.6945,7.11,0.0474,0.008,-8.5,0,good
46,sn2006oa,Ia-91T,0.7311,7.08,0.0497,0.0089,-5.7,0,good
47,sn2003fa,Ia-91T,0.6972,7.03,0.0465,0.0092,-6.6,0,good
48,sn2003du,Ia-norm,0.8651,6.94,0.0466,0.0083,-4.2,0,good
49,sn1999ee,Ia-norm,0.9395,6.88,0.0457,0.0093,1.8,0,good
50,sn2006oa,Ia-91T,0.7297,6.87,0.0515,0.0089,-7.6,0,good
51,sn1999ac,Ia-91T,0.7974,6.87,0.0514,0.0079,-9.9,0,good
52,sn2005M,Ia-91T,0.7392,6.84,0.0357,0.0082,0.2,0,good
53,sn2001V,Ia-91T,0.6972,6.78,0.0481,0.0081,-7.4,0,good
54,sn1999aa,Ia-91T,0.9355,6.76,0.0386,0.0093,-1.6,0,good
55,sn2004aw,Ic-norm,0.7013,6.75,0.0553,0.0102,-5.2,0,good
56,sn2003fa,Ia-91T,0.6999,6.73,0.0468,0.0084,-7.6,0,good
57,sn2005cf,Ia-norm,0.9395,6.73,0.0532,0.0092,-6.3,0,good
58,sn2002er,Ia-norm,0.9395,6.7,0.0503,0.0093,-2.1,0,good
59,sn2001eh,Ia-91T,0.9395,6.68,0.0429,0.009,2.7,0,good
60,sn2003du,Ia-norm,0.9395,6.67,0.0413,0.0092,4.0,0,good
61,sn1999dq,Ia-91T,0.6918,6.67,0.0452,0.0085,-3.5,0,good
62,sn1999dq,Ia-91T,0.6904,6.67,0.0448,0.0087,-2.5,0,good
63,sn1999gp,Ia-91T,0.7013,6.67,0.0476,0.0087,-2.0,0,good
64,sn1998es,Ia-91T,0.7365,6.66,0.0418,0.008,-0.5,0,good
65,sn2002er,Ia-norm,0.9395,6.65,0.0507,0.0093,-3.1,0,good
66,sn1999aa,Ia-91T,0.727,6.64,0.0497,0.0082,-9.9,0,good
67,sn1999dq,Ia-91T,0.6945,6.64,0.0452,0.0085,-5.5,0,good
68,sn2001V,Ia-91T,0.6959,6.62,0.0473,0.0082,-5.4,0,good
69,sn2001ck,Ia-norm,0.9395,6.59,0.041,0.0094,5.8,0,good
70,sn1998ab,Ia-91T,0.7067,6.58,0.0343,0.0089,7.7,0,good
71,sn1999dq,Ia-91T,0.6877,6.54,0.0455,0.0085,-6.4,0,good
72,sn2005cf,Ia-norm,0.9395,6.48,0.0551,0.0095,-7.3,0,good
73,sn2005cf,Ia-norm,0.9395,6.42,0.0451,0.0094,1.5,0,good
74,sn2006cz,Ia-91T,0.7405,6.41,0.045,0.0092,-1.0,0,good
75,sn2006cj,Ia-norm,0.7216,6.4,0.0439,0.0097,-1.2,0,good
76,sn2005eu,Ia-norm,0.7446,6.4,0.0349,0.0104,10.3,0,good
77,sn2008Z,Ia-norm,0.7446,6.39,0.048,0.008,-5.3,0,good
78,sn2005eu,Ia-norm,0.7419,6.38,0.0449,0.0086,-5.2,0,good
79,sn1999dq,Ia-91T,0.6891,6.38,0.046,0.0088,-7.4,0,good
80,sn1999dq,Ia-91T,0.6918,6.37,0.0454,0.0088,-4.5,0,good
81,sn2008Z,Ia-norm,0.7405,6.33,0.0524,0.0086,-9.2,0,good
82,sn2005cf,Ia-norm,0.9395,6.32,0.0475,0.0097,-1.2,0,good
83,sn2005eq,Ia-91T,0.7432,6.31,0.0415,0.0088,0.4,0,good
84,sn2001V,Ia-91T,0.6945,6.31,0.0481,0.0086,-6.4,0,good
85,sn2005cf,Ia-norm,0.9395,6.3,0.0469,0.0095,-0.2,0,good
86,sn2008Z,Ia-norm,0.7446,6.3,0.0489,0.0081,-6.3,0,good
87,sn1990N,Ia-norm,0.9138,6.28,0.0674,0.0107,-14.2,0,bad
88,sn1999aa,Ia-91T,0.8421,6.28,0.0457,0.0101,-5.0,0,good
89,sn2008Z,Ia-norm,0.7432,6.28,0.051,0.0086,-8.2,0,good
90,sn2005cf,Ia-norm,0.9395,6.28,0.0572,0.0097,-8.2,0,good
91,sn2008Z,Ia-norm,0.7419,6.27,0.0496,0.0084,-7.3,0,good
92,sn2002er,Ia-norm,0.9192,6.27,0.0544,0.01,-5.0,0,good
93,sn2005cf,Ia-norm,0.9395,6.27,0.0472,0.0096,-1.5,0,good
94,sn2005cf,Ia-norm,0.9395,6.27,0.0541,0.0097,-6.6,0,good
95,sn2002dj,Ia-norm,0.9395,6.26,0.0558,0.0101,-3.6,0,good
96,sn2004S,Ia-norm,0.9395,6.24,0.0484,0.0102,1.6,0,good
97,sn1999dq,Ia-91T,0.6904,6.24,0.0463,0.009,-8.5,0,good
98,sn2003fa,Ia-91T,0.6972,6.23,0.0502,0.0096,-10.4,0,good
99,sn2003hu,Ia-91T,0.6972,6.23,0.039,0.0082,0.1,0,good
100,sn2008Z,Ia-norm,0.7459,6.22,0.0468,0.0082,-4.3,0,good
101,sn2006cc,Ia-norm,0.7446,6.18,0.0513,0.0093,-9.7,0,good
102,sn2001ah,Ia-91T,0.6972,6.15,0.0477,0.0097,-8.7,0,good
103,sn2001V,Ia-91T,0.6931,6.13,0.0493,0.0092,-9.3,0,good
104,sn2006cj,Ia-norm,0.7216,6.13,0.0369,0.0104,9.1,0,good
105,sn1990O,Ia-norm,0.8218,6.12,0.0558,0.0103,-6.6,0,good
106,sn2001da,Ia-norm,0.9395,6.11,0.0529,0.0102,-1.0,0,good
107,sn2005na,Ia-norm,0.7405,6.11,0.0418,0.0089,-1.5,0,good
108,sn2001V,Ia-91T,0.6945,6.1,0.0471,0.0092,-3.3,0,good
109,sn2003fa,Ia-91T,0.6959,6.1,0.0484,0.0096,-9.5,0,good
110,sn2007kk,Ia-norm,0.7459,6.09,0.0508,0.0096,-1.7,0,good
111,sn1996ab,Ia-norm,0.6227,6.08,0.0404,0.0079,1.3,0,good
112,sn1989B,Ia-norm,0.9395,6.08,0.0429,0.0099,-1.3,0,good
113,sn2003du,Ia-norm,0.9165,6.05,0.0477,0.0094,-7.2,0,good
114,sn2001ah,Ia-91T,0.6999,6.03,0.0489,0.0098,-9.7,0,good
115,sn2005eq,Ia-91T,0.7432,6.03,0.0413,0.0089,1.3,0,good
116,sn2003U,Ia-norm,0.9355,6.02,0.0562,0.0106,-8.5,0,good
117,sn2002bo,Ia-norm,0.9395,6.02,0.0513,0.0102,-1.7,0,good
118,sn2005cf,Ia-norm,0.9395,6.01,0.0433,0.01,4.5,0,good
119,sn1997br,Ia-91T,0.8096,5.98,0.0457,0.0085,-7.6,0,good
120,sn2005cf,Ia-norm,0.9395,5.97,0.044,0.0101,6.2,0,good
121,sn2001V,Ia-91T,0.6931,5.95,0.0509,0.01,-11.2,0,good
122,sn2006S,Ia-norm,0.7446,5.94,0.0465,0.0091,-2.6,0,good
123,sn2005cf,Ia-norm,0.9395,5.93,0.0493,0.0104,-2.7,0,good
124,sn2007ae,Ia-norm,0.727,5.92,0.0423,0.0099,2.3,0,good
125,sn1994D,Ia-norm,0.9395,5.87,0.0668,0.0101,-11.1,0,bad
126,sn1994S,Ia-norm,0.5794,5.85,0.0454,0.0107,-3.0,0,good
127,sn2006S,Ia-norm,0.7419,5.83,0.0483,0.0094,-5.5,0,good
128,sn2006cj,Ia-norm,0.7229,5.82,0.0409,0.0107,4.4,0,good
129,sn2002hu,Ia-91T,0.6959,5.82,0.0455,0.0111,-5.3,0,good
130,sn1997br,Ia-91T,0.8055,5.8,0.0477,0.0092,-9.6,0,good
131,sn2003hu,Ia-91T,0.6986,5.79,0.0373,0.01,7.5,0,good
132,sn2002er,Ia-norm,0.6891,5.78,0.053,0.0105,-6.0,0,good
133,sn1981B,Ia-norm,0.9152,5.78,0.0475,0.0108,-1.5,0,good
134,sn1998es,Ia-91T,0.7338,5.73,0.0411,0.0092,0.5,0,good
135,sn2007kk,Ia-norm,0.7473,5.72,0.0485,0.0102,1.1,0,good
136,sn1999ee,Ia-norm,0.9341,5.72,0.0419,0.01,6.7,0,good
137,sn2001V,Ia-91T,0.6959,5.71,0.0531,0.0106,-13.2,0,good
138,sn1999aa,Ia-91T,0.8922,5.7,0.0488,0.0097,-9.4,0,good
139,sn2001eh,Ia-91T,0.8705,5.7,0.0405,0.0105,8.6,0,good
140,sn2002er,Ia-norm,0.7906,5.7,0.0583,0.0105,-9.0,0,good
141,sn2008Z,Ia-norm,0.7473,5.69,0.0391,0.0104,7.6,0,good
142,sn2002er,Ia-norm,0.9301,5.68,0.048,0.0101,-4.0,0,good
143,sn2007S,Ia-91T,0.7432,5.67,0.042,0.0095,-0.7,0,good
144,sn2007kk,Ia-norm,0.7459,5.66,0.0495,0.0102,-0.8,0,good
145,sn2005cf,Ia-norm,0.9395,5.62,0.0597,0.0104,-9.2,0,good
146,sn2005cf,Ia-norm,0.9395,5.61,0.0506,0.0109,-3.8,0,good
147,sn2002he,Ia-norm,0.9395,5.6,0.0508,0.0107,-3.2,0,good
148,sn2007kk,Ia-norm,0.75,5.6,0.0454,0.0107,5.9,0,good
149,sn2002er,Ia-norm,0.9395,5.58,0.0458,0.0116,2.9,0,good
150,sn2000cx,Ia-pec,0.6227,5.58,0.0445,0.0105,8.6,0,good
151,sn2007kk,Ia-norm,0.7487,5.58,0.0477,0.0105,2.1,0,good
152,sn2001V,Ia-91T,0.6918,5.56,0.0502,0.0104,-10.2,0,good
153,sn2007kk,Ia-norm,0.7473,5.55,0.0473,0.0106,3.2,0,good
154,sn2003fa,Ia-91T,0.6986,5.54,0.0394,0.0096,8.7,0,good
155,sn1999dq,Ia-91T,0.6959,5.54,0.0478,0.0105,-10.4,0,good
156,sn2007kk,Ia-norm,0.75,5.52,0.0416,0.0109,8.8,0,good
157,sn1997br,Ia-91T,0.8204,5.52,0.0435,0.0095,-4.6,0,good
158,sn2006cm,Ia-norm,0.7446,5.51,0.0428,0.0095,-1.0,0,good
159,sn2007kk,Ia-norm,0.7487,5.5,0.0463,0.0108,4.1,0,good
160,sn1990O,Ia-norm,0.8218,5.5,0.0538,0.0109,-5.6,0,good
161,sn2005cf,Ia-norm,0.9395,5.5,0.0442,0.0108,5.2,0,good
162,sn2005M,Ia-91T,0.7432,5.49,0.0333,0.0098,5.1,0,good
163,sn1998ab,Ia-91T,0.6864,5.49,0.0449,0.01,-7.8,0,good
164,sn2002dj,Ia-norm,0.9395,5.49,0.0588,0.0114,-4.6,0,good
165,sn1998es,Ia-91T,0.6904,5.48,0.0481,0.0106,-10.3,0,good
166,sn2007kk,Ia-norm,0.75,5.47,0.0464,0.0111,5.0,0,good
167,sn2005cf,Ia-norm,0.9395,5.46,0.0431,0.011,7.2,0,good
168,sn2002de,Ia-norm,0.7013,5.45,0.0491,0.0104,-6.1,0,good
169,sn2002bo,Ia-norm,0.926,5.44,0.0483,0.0107,-0.6,0,good
170,sn1999aa,Ia-91T,0.6959,5.44,0.0455,0.0105,-2.1,0,good
171,sn2003ic,Ia-norm,0.6972,5.42,0.037,0.0108,7.2,0,good
172,sn2005cf,Ia-norm,0.9395,5.41,0.048,0.0109,-2.4,0,good
173,sn1998es,Ia-91T,0.6728,5.4,0.0511,0.0121,-9.4,0,good
174,sn2006S,Ia-norm,0.7432,5.39,0.0444,0.0099,-0.7,0,good
175,sn2004eo,Ia-norm,0.9395,5.39,0.0457,0.0111,-5.6,0,good
176,sn2006ax,Ia-norm,0.7419,5.39,0.0463,0.0103,-8.4,0,good
177,sn2005eu,Ia-norm,0.7487,5.39,0.0471,0.0092,-9.0,0,good
178,sn2001br,Ia-norm,0.9395,5.39,0.0487,0.0115,2.5,0,good
179,sn2007F,Ia-norm,0.7405,5.37,0.0483,0.0101,-5.7,0,good
180,sn2003fa,Ia-91T,0.6986,5.36,0.0371,0.0102,10.7,0,good
