no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
1,sn1986G,Ia-91bg,0.574,13.11,0.0739,0.0043,-0.7,0,good
2,sn1996bl,Ia-norm,0.7026,12.29,0.0798,0.0048,-2.2,0,good
3,sn1986G,Ia-91bg,0.6133,12.06,0.0759,0.0047,-3.0,0,good
4,sn1996bl,Ia-norm,0.704,11.81,0.0811,0.005,-4.0,0,good
5,sn1997do,Ia-norm,0.6972,11.7,0.0987,0.0056,-11.6,0,bad
6,sn2007bm,Ia-norm,0.7432,11.54,0.0774,0.0048,-9.3,0,good
7,sn2005bo,Ia-norm,0.7446,11.46,0.0718,0.0046,-0.1,0,good
8,sn1997bq,Ia-norm,0.6999,11.43,0.0969,0.0053,-10.6,0,good
9,sn2003W,Ia-norm,0.6999,11.37,0.1041,0.006,-10.2,0,bad
10,sn2007bm,Ia-norm,0.7473,10.29,0.0804,0.0054,-11.2,0,good
11,sn2007bc,Ia-norm,0.7405,10.1,0.0731,0.0052,-2.6,0,good
12,sn2003iv,Ia-norm,0.6986,10.03,0.0762,0.0049,-1.4,0,good
13,sn2002bo,Ia-norm,0.75,10.0,0.0825,0.0061,-3.7,0,good
14,sn2002bo,Ia-norm,0.7541,9.87,0.0803,0.0061,-1.8,0,good
15,sn1997Y,Ia-norm,0.6579,9.84,0.0734,0.0054,2.9,0,good
16,sn2003iv,Ia-norm,0.6972,9.8,0.0754,0.0051,-0.5,0,good
17,sn2002er,Ia-norm,0.9016,9.79,0.0775,0.0063,-4.0,0,good
18,sn1995E,Ia-norm,0.6864,9.64,0.0741,0.0054,-0.9,0,good
19,sn2003iv,Ia-norm,0.6972,9.58,0.0765,0.0053,-2.4,0,good
20,sn1994T,Ia-norm,0.6471,9.56,0.0774,0.006,0.8,0,good
21,sn2007af,Ia-norm,0.7473,9.54,0.0757,0.0056,-4.6,0,good
22,sn2007af,Ia-norm,0.7459,9.46,0.0734,0.0056,-1.6,0,good
23,sn2007af,Ia-norm,0.7446,9.38,0.0748,0.0057,-3.6,0,good
24,sn2007af,Ia-norm,0.7473,9.35,0.0764,0.0057,-5.6,0,good
25,sn2007af,Ia-norm,0.7378,9.32,0.0721,0.0056,0.3,0,good
26,sn2007af,Ia-norm,0.7459,9.32,0.0727,0.0056,-0.6,0,good
27,sn2007af,Ia-norm,0.7473,9.31,0.0743,0.0057,-2.6,0,good
28,sn1997E,Ia-norm,0.7067,9.29,0.0798,0.0056,-3.7,0,good
29,sn2007A,Ia-norm,0.7459,9.26,0.0708,0.0059,4.5,0,good
30,sn2007kk,Ia-norm,0.7459,9.24,0.0801,0.0071,-0.8,0,good
31,sn2002aw,Ia-norm,0.6945,9.23,0.0744,0.0055,1.1,0,good
32,sn2007fb,Ia-norm,0.7459,9.23,0.075,0.0054,1.7,0,good
33,sn2003hv,Ia-norm,0.7554,9.22,0.0732,0.0057,3.2,0,good
34,sn2007ca,Ia-norm,0.7473,9.21,0.0714,0.0058,5.5,0,good
35,sn2007fs,Ia-norm,0.7459,9.21,0.0727,0.006,4.1,0,good
36,sn2000cp,Ia-norm,0.6986,9.18,0.077,0.0059,-1.5,0,good
37,sn2003iv,Ia-norm,0.6999,9.17,0.0754,0.0055,0.5,0,good
38,sn1997bq,Ia-norm,0.7067,9.15,0.0949,0.0065,-9.6,0,good
39,sn1998es,Ia-91T,0.6959,9.12,0.0841,0.0068,-9.4,0,good
40,sn2001ex,Ia-norm,0.6999,9.11,0.0725,0.0051,-3.4,0,good
41,sn2003iv,Ia-norm,0.6972,9.07,0.0747,0.0055,1.4,0,good
42,sn2007kk,Ia-norm,0.75,9.05,0.078,0.0075,1.1,0,good
43,sn2006le,Ia-norm,0.7405,9.04,0.0788,0.006,2.9,0,good
44,sn1995E,Ia-norm,0.6945,9.01,0.0741,0.0056,1.0,0,good
45,sn1999ac,Ia-91T,0.769,8.98,0.0691,0.007,0.4,0,good
46,sn2004fu,Ia-norm,0.7459,8.97,0.0766,0.006,4.4,0,good
47,sn2005ki,Ia-norm,0.7392,8.96,0.0744,0.0059,1.0,0,good
48,sn2007co,Ia-norm,0.7487,8.93,0.079,0.0064,-0.2,0,good
49,sn2008ar,Ia-norm,0.7473,8.92,0.0761,0.007,1.2,0,good
50,sn2007kk,Ia-norm,0.75,8.9,0.0778,0.0073,2.1,0,good
51,sn2005bc,Ia-norm,0.6918,8.88,0.0779,0.0057,-5.0,0,good
52,sn2007A,Ia-norm,0.7378,8.86,0.0737,0.0064,-2.4,0,good
53,sn2007F,Ia-norm,0.7432,8.86,0.0725,0.0065,3.0,0,good
54,sn2007A,Ia-norm,0.7446,8.85,0.074,0.0066,-3.4,0,good
55,sn2006et,Ia-norm,0.7473,8.81,0.0743,0.0068,2.4,0,good
56,sn1997do,Ia-norm,0.6959,8.79,0.096,0.0071,-10.6,0,good
57,sn1997Y,Ia-norm,0.7067,8.78,0.0738,0.0059,1.9,0,good
58,sn2007co,Ia-norm,0.7405,8.73,0.0776,0.0065,1.7,0,good
59,sn2002aw,Ia-norm,0.6972,8.72,0.075,0.0058,-0.9,0,good
60,sn2006N,Ia-norm,0.7392,8.71,0.0782,0.006,-3.3,0,good
61,sn2007co,Ia-norm,0.7459,8.68,0.0783,0.0067,0.8,0,good
62,sn2007fs,Ia-norm,0.7487,8.68,0.0721,0.0062,3.1,0,good
63,sn2006ax,Ia-norm,0.7378,8.67,0.0721,0.0063,0.5,0,good
64,sn2006cf,Ia-norm,0.7405,8.65,0.0716,0.007,1.8,0,good
65,sn2003ch,Ia-norm,0.6959,8.63,0.0724,0.0058,1.8,0,good
66,sn2000cf,Ia-norm,0.6999,8.63,0.07,0.0059,2.9,0,good
67,sn2007F,Ia-norm,0.7432,8.6,0.075,0.0068,-0.9,0,good
68,sn2006N,Ia-norm,0.7419,8.58,0.0767,0.0059,-1.3,0,good
69,sn2004fu,Ia-norm,0.7459,8.52,0.0766,0.0064,3.4,0,good
70,sn2000dg,Ia-norm,0.6986,8.52,0.0738,0.0069,-0.8,0,good
71,sn2007co,Ia-norm,0.7487,8.51,0.08,0.0067,-1.2,0,good
72,sn2007F,Ia-norm,0.7392,8.49,0.0758,0.0069,-1.8,0,good
73,sn2002bo,Ia-norm,0.8705,8.48,0.0818,0.0071,-2.8,0,good
74,sn2003W,Ia-norm,0.6945,8.42,0.0979,0.0079,-7.3,0,bad
75,sn2006N,Ia-norm,0.7311,8.42,0.0746,0.006,0.7,0,good
76,sn2007fs,Ia-norm,0.7473,8.4,0.0723,0.0066,5.1,0,good
77,sn1990N,Ia-norm,0.8515,8.4,0.0841,0.008,-7.4,0,good
78,sn2006S,Ia-norm,0.7432,8.39,0.0773,0.007,0.2,0,good
79,sn2008bf,Ia-norm,0.7446,8.36,0.0765,0.0067,3.6,0,good
80,sn2006cf,Ia-norm,0.7473,8.35,0.0703,0.0079,2.7,0,good
81,sn2007af,Ia-norm,0.7432,8.35,0.0706,0.0061,2.3,0,good
82,sn2002ck,Ia-norm,0.6986,8.35,0.0738,0.0062,0.3,0,good
83,sn1998es,Ia-91T,0.7365,8.35,0.0742,0.0063,1.5,0,good
