no.,sn,type,lap,rlap,z,zerr,age,age_flag,grade
1,sn1987A,II-pec,0.6769,6.3,0.0426,0.0082,-79.7,0,good
2,sn1987A,II-pec,0.6783,6.17,0.04,0.0083,-78.8,0,good
3,sn1987A,II-pec,0.6769,6.13,0.0367,0.0081,-77.8,0,good
4,sn1987A,II-pec,0.6783,6.01,0.0346,0.0081,-76.8,0,good
5,sn1987A,II-pec,0.6309,5.98,0.0389,0.0086,-78.5,0,good
6,sn1987A,II-pec,0.6783,5.76,0.0459,0.0089,-80.8,0,good
7,sn1996cb,IIb,0.7026,5.56,0.0436,0.009,-16.9,0,good
8,sn1987A,II-pec,0.6417,5.56,0.0357,0.0086,-77.5,0,good
9,sn2006bp,IIP,0.6783,5.55,0.037,0.0084,3.3,0,good
10,sn1987A,II-pec,0.6336,5.53,0.0321,0.0088,-75.6,0,good
11,sn1987A,II-pec,0.6431,5.36,0.0415,0.0093,-79.6,0,good
12,sn1987A,II-pec,0.6444,5.33,0.0335,0.0088,-76.6,0,good
13,sn2006bp,IIP,0.6769,5.27,0.0359,0.0089,4.2,0,good
14,sn1987A,II-pec,0.9395,5.21,0.052,0.01,-82.4,0,good
15,sn1996cb,IIb,0.704,5.18,0.048,0.0098,-18.0,0,good
16,sn1987A,II-pec,0.6485,5.05,0.0448,0.0101,-80.5,0,good
17,sn1987A,II-pec,0.6403,5.05,0.0319,0.0092,-75.7,0,good
