type,ntemp,fraction,slope,redshift,redshift_error,age,age_error
Ia,656,1.0,0.0,0.077,0.0057,-0.6,4.575
Ia-norm,593,0.9,-0.0466,0.0771,0.0058,-0.6,4.621
Ia-91T,54,0.08,-0.0148,0.0768,0.0042,-0.7,4.052
Ia-91bg,6,0.01,0.0233,0.0711,0.0033,0.2,3.709
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ia-pec,3,0.0,-0.0005,0.0758,0.0027,6.2,5.178
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0
II,0,0.0,0.0,0.0,0.0,0.0,0.0
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0
