type,ntemp,fraction,slope,redshift,redshift_error,age,age_error
Ia,42,0.98,0.0102,0.0435,0.0058,-2.45,4.556
Ia-norm,1,0.02,0.0,0.0464,0.0,-4.1,0.0
Ia-91T,3,0.07,0.0,0.0404,0.0073,-5.0,4.875
Ia-91bg,37,0.86,0.0621,0.0437,0.0057,-1.4,4.413
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ia-pec,1,0.02,0.0,0.0335,0.0,-2.9,0.0
Ib,1,0.02,0.0,0.0357,0.0,13.4,0.0
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
IIb,1,0.02,0.0,0.0357,0.0,13.4,0.0
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0
II,0,0.0,0.0,0.0,0.0,0.0,0.0
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0
