file,zmed,zvar,agem,agev
T2m3ws-20220905.185818-0048.p12_SN_snid.output,0.0724,0.0042,-0.1,3.7
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN_snid.output,0.0893,0.0106,17.1,16.93
T2m3ws-20210914.110126-0157.p12_SN_snid.output,0.0437,0.0061,-2.1,4.78
T2m3ws-20220716.124920-0226.p12_SN_snid.output,0.0223,0.0,19.1,0.0
T2m3ws-20220912.124224-0060.p12_SN_snid.output,0.0174,0.0061,-1.4,4.71
T2m3ws-20210922.165306-0008.p12_SN_snid.output,0.0473,0.0059,-0.2,5.18
T2m3ws-20211007.173121-0040.p12_SN_snid.output,0.0433,0.0059,-2.2,5.07
OBK-14848-WiFeS-Splice-UT20220615T171540-1.p12_SN_snid.output,0.0463,0.0053,-3.1,5.75
T2m3ws-20210922.155908-0005.p12_SN_snid.output,0.0665,0.0078,-4.55,4.14
T2m3ws-20220428.155027-0033.p12_SN_snid.output,0.0531,0.0051,-10.95,8.41
OBK-11968-WiFeS-Splice-UT20220613T192020-4.p12_SN_snid.output,0.1821,0.0094,6.7,57.74
T2m3ws-20211114.144003-0059.p12_SN_snid.output,0.0526,0.0074,4.3,6.72
T2m3ws-20210914.170537-0186.p12_SN_snid.output,0.0316,0.0059,-1.5,4.76
T2m3ws-20210914.143914-0180.p12_SN_snid.output,0.103,0.0083,-4.3,1.23
T2m3ws-20220913.153839-0158.p12_SN_snid.output,0.0402,0.0064,5.05,6.95
T2m3ws-20220807.104858-0027.p12_SN_snid.output,0.0008,0.0048,-0.35,5.54
T2m3ws-20220426.123220-0026.p12_SN_snid.output,0.0282,0.0072,17.0,12.4
T2m3ws-20211220.130256-0059.p12_SN_snid.output,0.0421,0.0055,17.8,12.73
T2m3ws-20220817.165359-0041.p12_SN_snid.output,0.2487,0.0002,3.55,0.35
T2m3ws-20211026.115233-0056.p12_SN_snid.output,0.0847,0.0028,0.0,0.0
T2m3ws-20210926.145254-0073.p12_SN_snid.output,0.0577,0.0115,-5.3,10.4
T2m3ws-20211024.160134-0093.p12_SN_snid.output,0.0389,0.0058,-77.5,31.82
T2m3ws-20211211.140637-0072.p12_SN_snid.output,0.0548,0.0056,-0.9,4.89
T2m3ws-20220625.193305-0172.p12_SN_snid.output,0.0167,0.0057,50.5,19.38
OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN_snid.output,0.077,0.0057,-0.6,4.58
T2m3ws-20211016.171517-0119.p12_SN_snid.output,0.0634,0.0058,0.2,5.23
