Wavelength,Flux,Error,SNR
3504.65,7.2028e+00,7.3015e+00,0.9864822296788331
3505.42,1.1502e+01,7.0904e+00,1.6221933882432586
3506.20,2.0177e+01,6.9689e+00,2.895291939904433
3506.97,1.7074e+01,7.4611e+00,2.2884025143745563
3507.75,5.1345e+00,7.3815e+00,0.6955903271692746
3508.52,9.4723e+00,6.8617e+00,1.3804596528557065
3509.30,3.9719e+00,6.5487e+00,0.6065173240490479
3510.07,3.2631e+00,6.8499e+00,0.47637191783821664
3510.85,-1.4351e+00,6.5165e+00,-0.22022558121691094
3511.62,-2.3360e+00,6.3178e+00,-0.36974896324669976
3512.40,-5.2801e+00,6.4138e+00,-0.8232405126446101
3513.17,-5.1723e+00,6.4413e+00,-0.8029900796423082
3513.95,1.1941e+00,6.6194e+00,0.18039399341330029
3514.72,-1.7528e+00,6.7208e+00,-0.26080228544220924
3515.50,2.7603e+00,6.4388e+00,0.4286978940175188
3516.27,-2.9048e+00,6.3608e+00,-0.45667211671487856
3517.05,3.7525e+00,6.4238e+00,0.5841557956349824
3517.82,5.3115e-01,6.5509e+00,0.08108046222656429
3518.60,-1.3530e+01,6.7429e+00,-2.0065550430823533
3519.37,8.6299e-01,6.5896e+00,0.13096242564040306
3520.15,1.1076e+01,6.3860e+00,1.7344190416536174
3520.92,2.2094e+00,6.3888e+00,0.34582394189832205
3521.69,4.6482e+00,6.3400e+00,0.7331545741324922
3522.47,6.7148e+00,5.9810e+00,1.122688513626484
3523.24,3.2813e+00,6.0064e+00,0.5463006126798081
3524.02,-3.5083e+00,6.1958e+00,-0.5662384195745506
3524.79,-9.2735e+00,6.1017e+00,-1.5198223445924905
3525.57,1.4122e+01,5.8357e+00,2.4199324845348458
3526.34,4.5283e+00,5.6950e+00,0.7951360842844599
3527.12,5.6953e+00,5.9020e+00,0.9649779735682819
3527.89,-1.4744e+00,5.6690e+00,-0.2600811430587405
3528.67,4.9244e+00,5.7384e+00,0.8581486128537571
3529.44,5.8885e+00,5.8252e+00,1.010866579688251
3530.22,2.1507e-01,5.9118e+00,0.03637978280726682
3530.99,3.0942e+00,5.9704e+00,0.5182567332172049
3531.77,1.1441e+00,5.9564e+00,0.19207910818615268
3532.54,-1.7293e-01,5.9178e+00,-0.029222008178715064
3533.32,-1.4122e+01,5.7155e+00,-2.4708249496981893
3534.09,-3.2233e+00,5.7139e+00,-0.5641155778015017
3534.87,1.2462e+01,5.6050e+00,2.2233719892952717
3535.64,-6.3723e+00,5.7584e+00,-1.1066094748541262
3536.42,-2.7103e+00,5.8216e+00,-0.4655592964133572
3537.19,1.1110e+00,5.7595e+00,0.19289868912231964
3537.97,1.2817e+01,5.8451e+00,2.192776855827958
3538.74,1.0555e+01,5.6872e+00,1.8559220706147137
3539.52,-1.1867e-01,5.6649e+00,-0.020948295645112885
3540.29,1.5507e+00,5.6822e+00,0.2729048607933547
3541.07,1.7582e+01,5.7780e+00,3.0429214260989967
3541.84,-5.7165e-01,5.7768e+00,-0.09895616950560865
3542.61,4.2294e+00,5.7528e+00,0.7351898206090948
3543.39,7.8707e+00,5.6880e+00,1.3837376933895922
3544.16,1.2359e+01,5.7106e+00,2.164220922495009
3544.94,-5.6597e+00,5.6277e+00,-1.0056861595323134
3545.71,-8.4884e+00,5.9938e+00,-1.4161967366278487
3546.49,7.5986e+00,6.0156e+00,1.2631491455548907
3547.26,4.0078e+00,5.6730e+00,0.7064692402608849
3548.04,-9.7212e+00,5.4330e+00,-1.7892876863611265
3548.81,5.5607e+00,5.4469e+00,1.02089261781931
3549.59,1.7969e+01,5.6191e+00,3.1978430709544234
3550.36,2.1345e+00,5.6481e+00,0.3779146969777447
3551.14,4.2659e+00,5.6780e+00,0.7513032758013386
3551.91,8.2346e+00,5.6830e+00,1.448988210452226
3552.69,8.7992e+00,5.7064e+00,1.5419879433618393
