Wavelength,Flux,Error,SNR
3502.32,3.8170e+00,5.3446e+00,0.7141787972907234
3503.10,1.7459e+01,5.3364e+00,3.271681283262124
3503.87,1.9610e+01,5.3191e+00,3.6867139177680435
3504.65,1.5461e+01,5.2909e+00,2.9221871515243154
3505.42,-7.1759e+00,5.2593e+00,-1.3644211206814596
3506.20,9.1676e+00,5.2301e+00,1.7528536739259288
3506.97,2.3790e+00,5.2469e+00,0.45341058529798545
3507.75,-1.8358e+01,5.1769e+00,-3.546137649944948
3508.52,6.0691e+00,5.2041e+00,1.1662150996329816
3509.29,1.0991e+01,5.1925e+00,2.1167067886374578
3510.07,-3.5930e+00,5.1667e+00,-0.6954148682911724
3510.84,-6.9368e+00,5.1531e+00,-1.346141157749704
3511.62,-3.8406e+00,5.1633e+00,-0.7438266225088607
3512.39,6.0095e+00,5.0923e+00,1.1801150757025314
3513.17,2.9252e+00,5.0197e+00,0.5827439886845827
3513.94,1.4020e+01,4.9981e+00,2.8050659250515193
3514.72,-1.8934e+00,5.0447e+00,-0.3753245980930482
3515.49,-1.4246e+00,5.0010e+00,-0.2848630273945211
3516.26,-1.7226e+01,5.0063e+00,-3.4408645107164966
3517.04,6.1352e-01,5.0424e+00,0.12167221957797873
3517.81,-5.3521e+00,5.0438e+00,-1.0611245489511876
3518.59,-7.6701e-01,5.0345e+00,-0.15235077962061772
3519.36,-1.5291e-01,5.0010e+00,-0.030575884823035387
3520.14,4.5789e+00,4.9736e+00,0.9206409843976194
3520.91,9.7692e+00,4.9435e+00,1.9761707292404165
3521.69,-1.2147e+01,4.9184e+00,-2.4697055953155496
3522.46,3.6118e+00,4.9182e+00,0.7343743646049369
3523.24,-4.5710e+00,4.8932e+00,-0.9341535191694595
3524.01,1.1662e+00,4.8388e+00,0.24101016781020085
3524.78,1.2178e+01,4.8407e+00,2.5157518540706922
3525.56,-2.2966e+00,4.8189e+00,-0.4765817925252651
3526.33,8.2257e+00,4.7960e+00,1.715116763969975
3527.11,1.7179e+01,4.7894e+00,3.5868793585835386
3527.88,1.5163e+01,4.8031e+00,3.1569194894963672
3528.66,1.1494e+01,4.8103e+00,2.389455959087791
3529.43,-1.0370e+00,4.7798e+00,-0.21695468429641407
3530.21,2.1512e+01,4.7899e+00,4.491116724775047
3530.98,-1.0081e+01,4.7409e+00,-2.1263895041025966
3531.76,-6.3549e+00,4.7901e+00,-1.3266737646395692
3532.53,2.2677e+01,4.9173e+00,4.611677139893844
3533.30,1.6986e+01,4.8104e+00,3.5310992848827545
3534.08,1.3276e+01,4.7835e+00,2.775373680359569
3534.85,-2.8313e+01,4.7580e+00,-5.950609499789827
3535.63,-1.3793e+01,4.7083e+00,-2.9295074655395785
3536.40,4.2583e+00,4.7089e+00,0.9043088619422796
3537.18,1.2270e+01,4.7166e+00,2.601450197175932
3537.95,-5.1675e-01,4.6445e+00,-0.11126063085369793
3538.73,-4.3752e+00,4.6640e+00,-0.9380789022298458
3539.50,1.5632e+00,4.6937e+00,0.3330421628992053
3540.27,-5.2278e-01,4.6959e+00,-0.11132690219127324
3541.05,-4.7433e+00,4.6680e+00,-1.0161311053984574
3541.82,5.3386e+00,4.6460e+00,1.1490744726646578
3542.60,2.0878e+01,4.6390e+00,4.500538909247682
3543.37,1.1956e+01,4.6641e+00,2.563409875431487
3544.15,6.2665e+00,4.6505e+00,1.347489517256209
3544.92,2.9838e+01,4.6143e+00,6.466419608608023
3545.70,2.6730e+01,4.5603e+00,5.86145648312611
3546.47,1.8297e+01,4.5434e+00,4.0271602764449534
3547.25,2.2557e+01,4.5339e+00,4.975186925163766
3548.02,-1.3075e+01,4.5271e+00,-2.8881623997702723
3548.79,-1.6168e+01,4.4544e+00,-3.629669540229885
3549.57,1.3367e+01,4.5147e+00,2.9607725873258466
3550.34,1.2446e+01,4.5096e+00,2.759890012417953
3551.12,7.4400e+00,4.5092e+00,1.649960081610929
3551.89,-1.2528e+01,4.4804e+00,-2.7961789125970893
3552.67,1.3527e+00,4.4590e+00,0.30336398295581973
3553.44,6.0360e+00,4.4745e+00,1.348977539389876
3554.22,8.8339e+00,4.4536e+00,1.9835414047063051
3554.99,1.4064e-01,4.4397e+00,0.03167781606865328
3555.77,-7.2171e+00,4.4286e+00,-1.6296572280178836
3556.54,1.9364e+01,4.3966e+00,4.404312423236137
3557.31,1.2720e+01,4.3785e+00,2.905104487838301
3558.09,-7.3658e+00,4.3252e+00,-1.7029963932303709
3558.86,1.1333e+01,4.3477e+00,2.606665593302206
