Wavelength,Flux,Error,SNR
3502.32,-9.5354e+00,1.2122e+01,-0.7866193697409668
3503.10,-8.7529e+00,1.2270e+01,-0.713357783211084
3503.87,-2.4781e+00,1.2384e+01,-0.2001049741602067
3504.65,1.5892e+01,1.2086e+01,1.3149098130067847
3505.42,3.7187e+01,1.2130e+01,3.0657048639736186
3506.20,3.1372e+01,1.1873e+01,2.6422976501305486
3506.97,6.9340e+00,1.1950e+01,0.5802510460251047
3507.75,-6.6675e-01,1.2347e+01,-0.054000971896007124
3508.52,4.1367e+00,1.2920e+01,0.32017801857585143
3509.30,2.9910e+01,1.3115e+01,2.2805947388486465
3510.07,-2.7249e-01,1.2369e+01,-0.022030075187969927
3510.85,5.6986e+00,1.2397e+01,0.45967572799870937
3511.62,2.2232e+01,1.1803e+01,1.8835889180716765
3512.40,1.0376e+01,1.1458e+01,0.905568161982894
3513.17,3.6388e+00,1.1580e+01,0.3142314335060449
3513.95,2.1438e+01,1.1680e+01,1.835445205479452
3514.72,1.6337e+01,1.1837e+01,1.3801638928782631
3515.50,-1.4187e+01,1.1957e+01,-1.186501630843857
3516.27,-1.1189e+01,1.1804e+01,-0.9478990172822772
3517.05,-2.9615e+01,1.1215e+01,-2.640659830584039
3517.82,-1.4710e+01,1.1354e+01,-1.2955786506957903
3518.60,1.6826e+01,1.1649e+01,1.4444158296849516
3519.37,-2.0723e+01,1.1298e+01,-1.8342184457426092
3520.15,6.6226e+00,1.1797e+01,0.5613800118674239
3520.92,2.5196e+01,1.1908e+01,2.1158884783338934
3521.69,9.9189e+00,1.1371e+01,0.8722979509277988
3522.47,1.9617e+01,1.1335e+01,1.7306572562858402
3523.24,1.9701e+01,1.1131e+01,1.7699218399065673
3524.02,4.2699e+00,1.1867e+01,0.35981292660318526
3524.79,1.8085e+01,1.1427e+01,1.5826551150783235
3525.57,8.7907e+00,1.1106e+01,0.7915271024671349
3526.34,3.1179e+00,1.0766e+01,0.2896061675645551
3527.12,-3.4571e-02,1.0285e+01,-0.0033613028682547394
3527.89,-7.1706e+00,1.0224e+01,-0.701349765258216
3528.67,8.2528e+00,1.0580e+01,0.7800378071833649
3529.44,2.2059e+01,1.0691e+01,2.0633242914601064
3530.22,-6.6300e+00,1.0501e+01,-0.6313684411008476
3530.99,2.3648e+01,1.0497e+01,2.2528341430885015
3531.77,9.6068e+00,1.0412e+01,0.9226661544371878
3532.54,2.9338e+01,1.1057e+01,2.65334177444153
3533.32,2.6674e+01,1.1226e+01,2.3760912168181005
3534.09,3.3842e+01,1.0957e+01,3.088619147576891
3534.87,3.0798e+01,1.1014e+01,2.796259306337389
3535.64,2.0060e+01,1.1009e+01,1.8221455173040237
3536.42,1.3337e+01,1.0824e+01,1.232169253510717
3537.19,8.9642e-01,1.0791e+01,0.08307107774997682
3537.97,-1.3628e+01,1.1257e+01,-1.2106245003109177
3538.74,-3.0949e+00,1.1369e+01,-0.2722227108804644
3539.52,-2.7949e+00,1.0737e+01,-0.26030548570364165
3540.29,-8.7237e+00,1.0490e+01,-0.8316205910390847
3541.07,-2.9126e+00,1.0051e+01,-0.28978211123271314
3541.84,-1.0291e+01,1.0119e+01,-1.0169977270481274
3542.61,-8.7658e-01,9.7905e+00,-0.0895337316786681
3543.39,4.3081e+00,9.8176e+00,0.4388139667535853
3544.16,3.7199e+00,1.0108e+01,0.3680154333201424
3544.94,7.4865e+00,9.9798e+00,0.7501653339746288
3545.71,9.7250e+00,9.6438e+00,1.0084199174599224
3546.49,-2.1626e+01,9.6386e+00,-2.2436868424874983
3547.26,-1.2186e+01,9.8139e+00,-1.2417081894048236
3548.04,1.2655e+01,9.9744e+00,1.2687479948668592
3548.81,-1.3373e+01,9.8406e+00,-1.3589618519195983
3549.59,6.5530e+00,1.0067e+01,0.6509387106387206
