Wavelength,Flux,Error,SNR
3503.10,4.5178e+00,6.0608e+00,0.745413146779303
3503.87,-2.5380e+00,5.8696e+00,-0.4323974376448139
3504.65,4.0499e+00,5.8746e+00,0.6893916181527253
3505.42,7.3921e+00,5.8971e+00,1.2535144393006732
3506.19,-3.2238e+00,6.1256e+00,-0.5262831396108136
3506.97,2.4307e+00,6.3028e+00,0.38565399504981906
3507.74,1.2175e+00,6.0790e+00,0.20027965125843067
3508.52,3.5097e+00,5.9098e+00,0.5938779654133812
3509.29,1.0190e+00,5.9735e+00,0.17058675818197036
3510.07,-6.7609e+00,5.9366e+00,-1.1388505204999495
3510.84,3.9837e-01,5.8731e+00,0.06782959595443633
3511.61,-2.3540e+00,5.7318e+00,-0.4106912313758331
3512.39,-5.7667e+00,5.8135e+00,-0.9919497720822223
3513.16,-7.0028e+00,5.7727e+00,-1.2130891956969874
3513.94,-1.1012e+01,5.6644e+00,-1.9440717463455972
3514.71,-2.3047e+00,5.7270e+00,-0.40242709970316043
3515.48,-7.7892e+00,5.8092e+00,-1.340838669696344
3516.26,-4.6981e+00,5.6814e+00,-0.8269264617875876
3517.03,8.1062e+00,5.6335e+00,1.4389278423715275
3517.81,-3.1554e+00,5.8984e+00,-0.5349586328495864
3518.58,1.0645e+01,5.8061e+00,1.8334165791150687
3519.36,1.3742e+01,5.7610e+00,2.385349765665683
3520.13,9.6960e+00,5.9124e+00,1.6399431702861782
3520.90,4.7756e+00,5.7848e+00,0.8255428018254737
3521.68,2.5577e+00,5.6213e+00,0.4550015121057407
3522.45,1.6587e+00,5.2093e+00,0.3184113028621888
3523.23,1.1732e+01,5.2521e+00,2.233773157403705
3524.00,8.7833e+00,5.4764e+00,1.6038455919947412
3524.78,-1.0671e+01,5.4716e+00,-1.9502522114189633
3525.55,-3.3661e+00,5.4284e+00,-0.6200906344410876
3526.32,8.8021e+00,5.2061e+00,1.6907281842454043
3527.10,5.0018e+00,5.2973e+00,0.944216865195477
3527.87,-4.8922e+00,5.3670e+00,-0.9115334451276318
3528.65,-1.1950e+01,5.2960e+00,-2.256419939577039
3529.42,3.0702e+00,5.4034e+00,0.5681978013843135
3530.20,-6.4872e+00,5.9560e+00,-1.0891873740765614
3530.97,-3.8943e+00,5.2706e+00,-0.7388722346601905
3531.74,-2.0522e-01,5.3497e+00,-0.03836102959044432
3532.52,4.9013e-01,5.2836e+00,0.09276440305852071
3533.29,-1.8799e+00,5.4648e+00,-0.3440016103059581
3534.07,-7.4068e+00,5.4889e+00,-1.3494142724407439
3534.84,-8.0542e-01,5.2867e+00,-0.15234834584901735
3535.62,8.5070e+00,5.1684e+00,1.6459639346799781
3536.39,4.7977e+00,5.2521e+00,0.9134822261571561
3537.16,-2.2302e+00,5.2414e+00,-0.42549700461708706
3537.94,6.2919e+00,5.2493e+00,1.198616958451603
3538.71,7.5829e+00,5.1477e+00,1.4730656409658682
3539.49,3.6799e+00,5.3097e+00,0.6930523381735314
3540.26,-5.4958e+00,5.3851e+00,-1.0205567213236522
3541.04,5.7094e-01,5.2240e+00,0.10929173047473201
3541.81,2.3597e+00,5.1674e+00,0.45665131400704423
3542.58,2.5996e+00,5.0218e+00,0.5176629893663627
3543.36,7.1991e-01,5.0204e+00,0.14339694048283005
3544.13,-2.2171e+00,5.1211e+00,-0.4329343305149284
3544.91,-9.1775e+00,5.4342e+00,-1.6888410437598913
3545.68,-1.2587e+01,5.4184e+00,-2.3230104827993503
3546.45,5.8216e-01,5.2868e+00,0.1101157600060528
3547.23,5.2779e-01,5.1151e+00,0.10318273347539637
3548.00,1.5274e+01,4.9008e+00,3.1166340189356836
3548.78,1.4486e+01,4.9982e+00,2.898243367612341
3549.55,7.4562e+00,5.2042e+00,1.4327274124745397
3550.33,-1.1690e+00,5.2201e+00,-0.2239420700752859
3551.10,-7.9589e+00,5.1746e+00,-1.5380705755034205
3551.87,-1.1607e+01,5.2183e+00,-2.224287603242435
