Wavelength,Flux,Error,SNR
3502.32,5.1456e+01,1.3925e+01,3.6952244165170556
3503.10,-4.4622e+00,1.3825e+01,-0.3227631103074141
3503.87,-2.5683e+01,1.3726e+01,-1.8711205012385252
3504.65,-1.2822e+01,1.3605e+01,-0.9424476295479602
3505.42,-1.4156e+01,1.3565e+01,-1.0435680058975305
3506.19,-1.5630e+01,1.3526e+01,-1.1555522697027947
3506.97,4.5960e+01,1.3432e+01,3.4216795711733172
3507.74,6.9063e+01,1.3385e+01,5.159731042211431
3508.52,1.7862e+00,1.3392e+01,0.13337813620071684
3509.29,-1.6754e+01,1.3292e+01,-1.260457417995787
3510.07,2.6297e+01,1.3122e+01,2.0040390184423105
3510.84,8.4395e+00,1.3144e+01,0.6420800365185636
3511.61,1.7799e+01,1.3055e+01,1.3633856759862122
3512.39,2.0099e+01,1.2959e+01,1.5509684389227565
3513.16,2.1822e+00,1.2973e+01,0.1682108995606259
3513.94,-3.4382e+01,1.2857e+01,-2.674185268725208
3514.71,-8.0302e+00,1.2952e+01,-0.6199969116738728
3515.48,5.6570e+00,1.3166e+01,0.42966732492784443
3516.26,2.5051e+01,1.3118e+01,1.9096661076383594
3517.03,4.3681e+01,1.2920e+01,3.3808823529411764
3517.81,4.4092e+01,1.2986e+01,3.395348837209302
3518.58,4.4229e+01,1.3198e+01,3.3511895741779054
3519.36,2.7466e+01,1.3132e+01,2.0915321352421565
3520.13,2.0679e+01,1.3056e+01,1.5838694852941175
3520.90,2.5177e+00,1.2773e+01,0.19711109371330152
3521.68,1.3627e+01,1.2666e+01,1.0758724143375968
3522.45,5.5547e+01,1.2648e+01,4.391761543327008
3523.23,2.5013e+01,1.2394e+01,2.0181539454574797
3524.00,-2.1585e+01,1.2429e+01,-1.7366642529567946
3524.78,-1.1409e+01,1.2408e+01,-0.919487427466151
3525.55,5.2142e+00,1.2370e+01,0.42151980598221506
3526.32,-3.3856e+01,1.2285e+01,-2.755881155881156
3527.10,6.5113e+00,1.2321e+01,0.5284717149582014
3527.87,-3.1770e+01,1.2233e+01,-2.5970734897408647
3528.65,1.0076e+01,1.2301e+01,0.8191203967157142
3529.42,1.8099e+01,1.2287e+01,1.4730202653210709
3530.20,-1.5306e+01,1.2411e+01,-1.2332608170171622
3530.97,2.3788e+01,1.2379e+01,1.921641489619517
