file,date,time,pipeline,metadata,SNR_mean,SNR_median,SNR_var
T2m3ws-20230106.103716-0035.p12_SN,07/01/2023,00:57:27,v01,m01,49.8826708166082,45.90818014063002,257.2680857583451
T2m3ws-20220718.104325-0330.p12_SN,19/07/2022,02:01:05,v01,m01,28.843301910858955,24.66553767993226,139.81020204514147
T2m3ws-20220913.164125-0160.p12_SN,14/09/2022,04:46:41,v01,m01,5.434577737162427,5.011418636524742,9.53020061768267
T2m3ws-20220709.152359-0515.p12_SN,12/07/2022,05:33:08,v01,m01,57.38673587040391,51.31250745885608,447.94936540622444
T2m3ws-20211211.140637-0072.p12_SN,15/12/2021,09:39:18,v01,m01,24.167305966121123,22.37094691033171,111.811509105569
T2m3ws-20211025.173637-0119.p12_SN,26/10/2021,05:26:29,v01,m01,52.354830887782605,50.75611798246534,377.97420997803965
T2m3ws-20220426.123220-0026.p12_SN,07/05/2022,00:20:37,v01,m01,7.885327491174781,5.812239151356869,19.792850855105705
T2m3ws-20220820.162335-0144.p12_SN,21/08/2022,07:25:41,v01,m01,3.9566549223929446,3.186054506907023,6.0930218296849326
T2m3ws-20220716.124920-0226.p12_SN,17/07/2022,05:19:07,v01,m01,6.323025147673021,5.243399560863279,11.147797350771372
T2m3ws-20211009.165150-0126.p12_SN,10/10/2021,00:11:10,v01,m01,3.802648114988804,3.075057814499652,7.201161462195491
T2m3ws-20210914.183939-0190.p12_SN,20/11/2021,12:58:58,v01,m01,43.76451483870316,40.539396380529155,391.371698969765
T2m3ws-20210915.180232-0377.p12_SN,20/11/2021,10:01:12,v01,m01,3.0848845055493674,2.705858462383298,2.5286113895563287
T2m3ws-20211115.143731-0071.p12_SN,16/11/2021,06:06:05,v01,m01,32.031911690398076,31.044934892052716,110.47031816022107
T2m3ws-20220509.160759-0079.p12_SN,11/05/2022,05:30:59,v01,m01,0.09270161503752135,0.025735424757484488,2.214145786050973
T2m3ws-20211025.161147-0116.p12_SN,26/10/2021,01:22:18,v01,m01,3.0676553655355723,2.8434619089116175,3.203045836955017
T2m3ws-20211115.125303-0067.p12_SN,16/11/2021,06:03:36,v01,m01,193.91887518809773,209.99874710818727,9307.337981723636
T2m3ws-20211026.115233-0056.p12_SN,27/10/2021,02:10:29,v01,m01,3.8699423883452875,3.811152507176449,2.535779900434279
T2m3ws-20211008.175054-0082.p12_SN,09/10/2021,10:14:01,v01,m01,34.41018523289939,31.894884877674322,212.71021032591182
T2m3ws-20210915.170157-0375.p12_SN,20/11/2021,11:13:14,v01,m01,1.148286344182848,1.0212581122842201,0.5148921726791661
T2m3ws-20220817.141216-0035.p12_SN,18/08/2022,03:14:15,v01,m01,3.6286112581514707,3.1502957939050713,3.9985143453791783
T2m3ws-20211026.131800-0059.p12_SN,27/10/2021,02:14:02,v01,m01,7.5320654034351255,7.641236376630338,10.57087998591171
T2m3ws-20211114.171319-0065.p12_SN,15/11/2021,12:35:32,v01,m01,2.483182014552939,2.1395474773636622,2.1365931886285083
T2m3ws-20211026.144018-0062.p12_SN,27/10/2021,02:15:33,v01,m01,5.142074265780172,4.889672404219878,7.404710082729762
T2m3ws-20211024.160134-0093.p12_SN,25/10/2021,08:43:22,v01,m01,10.092022092966696,9.14657672304962,17.554190462656173
T2m3ws-20211007.173121-0040.p12_SN,20/11/2021,07:14:14,v01,m01,5.131388905616032,4.992213354097723,4.2126424835394065
T2m3ws-20210914.175245-0188.p12_SN,20/11/2021,10:35:58,v01,m01,32.01110154716999,28.319250005339697,193.55863149876262
T2m3ws-20210926.131058-0069.p12_SN,18/10/2021,03:27:07,v01,m01,52.89706741972561,53.43767364552897,351.0849405415395
T2m3ws-20210916.162835-0478.p12_SN,20/11/2021,09:39:03,v01,m01,37.08014036165021,37.05616717889309,225.07041110586445
T2m3ws-20220502.145631-0027.p12_SN,07/05/2022,08:10:23,v01,m01,5.277558992360061,4.888680700980932,4.745652326713308
T2m3ws-20211114.144003-0059.p12_SN,15/11/2021,11:45:03,v01,m01,25.49605278886181,26.456303108319872,98.27060705199844
T2m3ws-20210922.165306-0008.p12_SN,10/10/2021,01:27:08,v01,m01,5.036720762993724,4.755310778914241,8.226696726562047
T2m3ws-20221104.110100-0036.p12_SN,05/11/2022,06:33:57,v01,m01,10.885529843921583,10.32887995534113,20.30226603819855
T2m3ws-20220912.124224-0060.p12_SN,13/09/2022,03:40:40,v01,m01,14.604965401991953,12.999848481249272,30.643408798155264
T2m3ws-20220905.185818-0048.p12_SN,06/09/2022,09:11:46,v01,m01,1.0722201083953735,0.9010725215643084,1.190395942050045
T2m3ws-20211016.171517-0119.p12_SN,17/10/2021,03:03:46,v01,m01,8.708463203532155,7.572773755885182,13.73233264741776
T2m3ws-20210922.162607-0006.p12_SN,10/10/2021,01:26:53,v01,m01,5.107871458265063,4.583447252275124,7.7250768833477705
T2m3ws-20211027.130833-0058.p12_SN,28/10/2021,08:59:06,v01,m01,2.3735725776559957,2.1020842482101134,4.120207915019016
T2m3ws-20220625.193305-0172.p12_SN,09/07/2022,05:21:47,v01,m01,3.2088668905702673,2.60611460979927,5.521300904106149
T2m3ws-20211017.154844-0100.p12_SN,18/10/2021,01:40:20,v01,m01,24.612388803779865,22.386679797481296,95.3681043224608
OBK-14880-WiFeS-Splice-UT20220615T162852-5.p12_SN,16/06/2022,14:58:41,v01,m01,0.7474727572479547,0.7116811138243341,2.5693054237835864
T2m3ws-20220428.155027-0033.p12_SN,07/05/2022,04:50:23,v01,m01,4.433884640857585,3.6645668066573336,4.889290698497939
OBK-6592-WiFeS-Blue-UT20211118T103849-4.p12_SN,18/11/2021,15:19:07,v01,m01,1.913485237056147,1.78091446081099,2.282611696337441
OBK-112832-WiFeS-Splice-UT20221010T114426-8.p12_SN,11/10/2022,13:33:14,v01,m01,36.85189987884328,33.53544762155344,169.9529049432371
T2m3ws-20220623.172702-0094.p12_SN,24/06/2022,10:46:37,v01,m01,18.5264310326749,16.82816917177485,44.46304547884834
T2m3ws-20210922.155908-0005.p12_SN,20/11/2021,09:20:43,v01,m01,4.359969685992061,4.184631304047895,3.9913891665756154
OBK-11968-WiFeS-Splice-UT20220613T192020-4.p12_SN,18/06/2022,12:30:36,v01,m01,0.7708248273597333,0.6553684360122219,0.8600449261284666
T2m3ws-20210914.170537-0186.p12_SN,20/11/2021,12:37:32,v01,m01,50.74786589675624,44.143531498038115,461.877053111812
OBK-11872-WiFeS-Splice-UT20220614T112712-2.p12_SN,14/06/2022,15:08:53,v01,m01,12.687019653273085,11.02698967251507,37.09141703756904
T2m3ws-20210914.110126-0157.p12_SN,20/11/2021,10:57:42,v01,m01,6.525777895264594,5.93286808969157,7.864158260900638
T2m3ws-20220919.091424-0028.p12_SN,20/09/2022,04:56:06,v01,m01,13.687737320528916,13.400854358134826,38.60633678854103
OBK-14848-WiFeS-Splice-UT20220615T171540-1.p12_SN,16/06/2022,14:56:54,v01,m01,5.914568939145912,5.916106769255856,7.227633058593122
T2m3ws-20210914.143914-0180.p12_SN,20/11/2021,13:17:59,v01,m01,12.49758671920739,10.980281577726831,26.720374519267025
T2m3ws-20210915.185046-0379.p12_SN,10/10/2021,01:26:05,v01,m01,3.069624365917686,2.8116854239252387,2.858123743643487
T2m3ws-20211114.131522-0056.p12_SN,15/11/2021,11:46:52,v01,m01,54.81097279553553,53.79219780923708,717.5979742738807
T2m3ws-20220917.182413-0251.p12_SN,18/09/2022,08:16:42,v01,m01,18.956677052001446,17.008691639945212,73.01112158501219
T2m3ws-20211114.114217-0053.p12_SN,15/11/2021,11:42:55,v01,m01,2.43744911741692,2.252484734364802,1.7485194412364327
T2m3ws-20211214.124728-0063.p12_SN,16/12/2021,00:12:49,v01,m01,6.903781604428191,6.603915248642544,20.609601090932454
T2m3ws-20220817.153815-0038.p12_SN,18/08/2022,03:49:29,v01,m01,8.489338834306388,7.707140228965606,13.023652281568992
T2m3ws-20220913.153839-0158.p12_SN,14/09/2022,03:51:38,v01,m01,4.070967154211384,3.561766290592986,6.386723283051327
T2m3ws-20210922.150706-0003.p12_SN,20/11/2021,08:47:57,v01,m01,3.6117710527107483,3.5278200060808755,2.1568869167642992
T2m3ws-20211115.111210-0063.p12_SN,16/11/2021,06:01:10,v01,m01,1.799336796354802,1.7126830191098996,2.8201473934899597
T2m3ws-20220807.104858-0027.p12_SN,09/08/2022,11:25:21,v01,m01,0.45062409306305745,0.4770327154853444,0.3545859855091272
T2m3ws-20210922.174228-0010.p12_SN,20/11/2021,12:37:36,v01,m01,23.45480771706609,22.230241310604384,60.603647173128024
T2m3ws-20211220.130256-0059.p12_SN,21/12/2021,06:50:19,v01,m01,36.41134600932313,33.69267532821634,224.59032706631575
T2m3ws-20220715.161805-0150.p12_SN,16/07/2022,05:01:41,v01,m01,19.07241345699417,17.335545676465102,56.75307054162965
T2m3ws-20210914.162000-0184.p12_SN,20/11/2021,11:57:30,v01,m01,4.1174302485569285,3.948468524946046,3.7186410099799483
OBK-12032-WiFeS-Splice-UT20220614T122234-1.p12_SN,18/06/2022,08:06:01,v01,m01,4.509374894765519,4.040760235434439,5.72190212972318
T2m3ws-20220426.103050-0024.p12_SN,05/05/2022,08:28:48,v01,m01,8.636943384155522,6.830034805091849,17.51634091506008
T2m3ws-20220817.165359-0041.p12_SN,18/08/2022,04:17:49,v01,m01,5.4051485518376845,4.930568033127168,10.685656581610868
T2m3ws-20220912.134431-0062.p12_SN,13/09/2022,04:00:29,v01,m01,14.87747144476722,13.55755661581883,34.96018025916347
