# Template No. 1: sn99ee (Ia-norm; +7) ; z= 0.528 +/- 0.005
#redshifted_wavelength[A] flux[arbitraty]
  4337.41211 -0.0217042379
  4343.28857 -0.0217040032
  4349.17188 -0.0217097439
  4355.06396 -0.0217191838
  4360.96387 -0.0217296351
  4366.87158 -0.0217393376
  4372.7876 -0.0217483584
  4378.71143 -0.0217584986
  4384.64355 -0.0217725914
  4390.5835 -0.0217930693
  4396.53125 -0.021820819
  4402.48779 -0.0218547136
  4408.45166 -0.0218916703
  4414.42383 -0.021928126
  4420.4043 -0.0219611228
  4426.39258 -0.0219898038
  4432.38916 -0.022015661
  4438.39404 -0.022042213
  4444.40674 -0.0220736042
  4450.42725 -0.022113286
  4456.45654 -0.0221625939
  4462.49365 -0.0222202316
  4468.53955 -0.0222826786
  4474.59277 -0.0223455131
  4480.65479 -0.0224049445
  4486.72461 -0.0224590283
  4492.80273 -0.0225083716
  4498.88965 -0.0225558355
  4504.98438 -0.0226054378
  4511.08691 -0.0226609781
  4517.19824 -0.022724621
  4523.31787 -0.0227963775
  4529.4458 -0.02287402
  4535.58203 -0.0229542218
  4541.72607 -0.0230334066
  4547.87939 -0.023109328
  4554.04004 -0.0231814701
  4560.20947 -0.0232511479
  4566.3877 -0.0233208872
  4572.57373 -0.0233934261
  4578.76807 -0.023470724
  4584.97119 -0.0235534087
  4591.18262 -0.0236406438
  4597.40234 -0.0237305034
  4603.63037 -0.0238209106
  4609.86719 -0.0239101723
  4616.1123 -0.0239975061
  4622.36572 -0.024083361
  4628.62793 -0.0241689105
  4634.89844 -0.0242556371
  4641.17725 -0.0243446566
  4647.46484 -0.0244366825
  4653.76074 -0.0245314091
  4660.06543 -0.02462814
  4666.37793 -0.0247255713
  4672.7002 -0.0248227343
  4679.03027 -0.0249185935
  4685.36914 -0.0250129327
  4691.71631 -0.0251058191
  4698.07227 -0.0251979828
  4704.43701 -0.0252904072
  4710.81006 -0.0253842957
  4717.19189 -0.0254806764
  4723.58252 -0.0255800858
  4729.98145 -0.0256824009
  4736.38965 -0.0257864259
  4742.80566 -0.0258901212
  4749.23096 -0.0259911474
  4755.66504 -0.0260872897
  4762.10742 -0.0261774659
  4768.55859 -0.0262624417
  4775.01904 -0.0263448004
  4781.48779 -0.0264286287
  4787.96533 -0.0265181176
  4794.45166 -0.0266162809
  4800.94629 -0.0267233159
  4807.45068 -0.0268360358
  4813.96338 -0.0269483328
  4820.48486 -0.0270528179
  4827.01562 -0.027143307
  4833.55469 -0.0272171684
  4840.10303 -0.0272770636
  4846.65967 -0.027330704
  4853.22559 -0.0273889154
  4859.80029 -0.0274621285
  4866.38379 -0.0275565609
  4872.97656 -0.0276713073
  4879.57764 -0.0277975723
  4886.18848 -0.027920749
  4892.80811 -0.0280248225
  4899.43652 -0.0280979052
  4906.07373 -0.0281370915
  4912.72021 -0.0281504765
  4919.37549 -0.0281557962
  4926.04004 -0.0281750523
  4932.71338 -0.0282273516
  4939.39551 -0.0283216722
  4946.08691 -0.0284523107
  4952.78809 -0.0285994448
  4959.49707 -0.0287346281
  4966.21631 -0.0288296118
  4972.94385 -0.0288667381
  4979.68115 -0.0288460646
  4986.42676 -0.0287874453
  4993.18213 -0.0287251715
  4999.94678 -0.0286976658
  5006.72021 -0.0287338514
  5013.50293 -0.0288422219
  5020.29443 -0.0290055424
  5027.0957 -0.0291844048
  5033.90576 -0.0293291025
  5040.72559 -0.0293962713
  5047.5542 -0.0293649826
  5054.39258 -0.0292463675
  5061.23975 -0.0290830806
  5068.09619 -0.0289370157
  5074.9624 -0.0288692154
  5081.8374 -0.0289175212
  5088.72168 -0.0290805306
  5095.61523 -0.0293135941
  5102.51855 -0.02953998
  5109.43115 -0.0296750031
  5116.35303 -0.0296559967
  5123.28418 -0.0294682421
  5130.22461 -0.0291569605
  5137.1748 -0.0288197938
  5144.13428 -0.0285794139
  5151.10352 -0.0285433531
