# Template No. 1: sn2003jo x sn99ee (Ia-norm; +7)
#redshift correlation
 -0.0121102929  0.00092029816
 -0.0107719898 -0.0028348139
 -0.00943183899 -0.00653855223
 -0.00808990002 -0.010171962
 -0.0067461729 -0.0137650706
 -0.00540059805 -0.0173739661
 -0.00405317545 -0.0210490488
 -0.00270396471 -0.0248018727
 -0.00135290623 -0.0285799485
  0. -0.0322568454
  0.00135469437 -0.0356421545
  0.00271129608 -0.0385108553
  0.00406968594 -0.0406465121
  0.00542986393 -0.0418888293
  0.00679194927 -0.0421742126
  0.00815594196 -0.0415583476
  0.00952172279 -0.0402141884
  0.0108892918 -0.0384032093
  0.0122587681 -0.0364253931
  0.0136300325 -0.0345576219
  0.0150033236 -0.0329946242
  0.0163782835 -0.031805668
  0.01775527 -0.0309176035
  0.0191340446 -0.0301283412
  0.0205146074 -0.0291486401
  0.0218971968 -0.0276615825
  0.0232815742 -0.0253872462
  0.0246677399 -0.0221361555
  0.026055932 -0.0178400725
  0.0274459124 -0.0125529105
  0.0288378 -0.00642340351
  0.030231595  0.000353413459
  0.0316272974  0.00759116421
  0.0330249071  0.0151595855
  0.034424305  0.0230100639
  0.0358257294  0.0311737712
  0.0372289419  0.0397310071
  0.0386340618  0.0487609133
  0.0400412083  0.0582848489
  0.0414501429  0.068219848
  0.0428609848  0.0783553943
  0.0442737341  0.0883620754
  0.0456885099  0.0978316516
  0.0471050739  0.106340788
  0.0485236645  0.113522612
  0.0499440432  0.119129606
  0.0513664484  0.123071566
  0.052790761  0.125418901
  0.0542169809  0.126369938
  0.0556452274  0.126190066
  0.0570752621  0.12513718
  0.0585073233  0.123392411
  0.0599412918  0.121012829
  0.0613772869  0.117917813
  0.0628150702  0.113912351
  0.06425488  0.108740248
  0.0656967163  0.102154151
  0.06714046  0.0939832926
  0.0685861111  0.0841821805
  0.0700336695  0.0728474334
  0.0714832544  0.0601999462
  0.072934866  0.0465373732
  0.0743883848  0.032170862
  0.0758439302  0.017364243
  0.077301383  0.00229212199
  0.0787607431 -0.0129702324
  0.080222249 -0.0284228977
  0.0816856623 -0.0440897569
  0.0831509829 -0.0599538386
  0.08461833 -0.0758989155
  0.0860877037 -0.0916753486
  0.087559104 -0.106902897
  0.0890324116 -0.121112674
  0.0905077457 -0.133820355
  0.0919851065 -0.144614458
  0.0934643745 -0.153237656
  0.0949457884 -0.159639493
  0.0964291096 -0.163987041
  0.0979144573 -0.166628391
  0.0994018316 -0.168016493
  0.100891232 -0.168611199
  0.102382541 -0.168781891
  0.103875995 -0.168735355
  0.105371475 -0.168485239
  0.106868863 -0.167870328
  0.108368397 -0.166616097
  0.109869957 -0.164423242
  0.111373544 -0.161059156
  0.112879157 -0.156430036
  0.114386797 -0.150613025
  0.115896463 -0.143841684
  0.117408156 -0.136448756
  0.118921876 -0.128781095
  0.120437741 -0.121110454
  0.121955633 -0.113563895
  0.123475552 -0.106092542
  0.124997616 -0.0984882042
  0.126521587 -0.0904434174
  0.128047705 -0.0816404521
  0.129575968 -0.0718460158
  0.131106138 -0.0609870106
  0.132638574 -0.0491880141
  0.134172916 -0.0367600992
  0.135709405 -0.0241429973
  0.137248039 -0.0118158981
  0.138788581 -0.000197578731
  0.140331388  0.0104383864
  0.141876221  0.0200135186
  0.14342308  0.0286480952
  0.144972086  0.0366178714
  0.146523237  0.0442775115
  0.148076534  0.0519689322
  0.149631858  0.0599383637
  0.151189208  0.0682817176
  0.152748823  0.07693021
  0.154310465  0.0856777355
  0.155874133  0.0942405611
  0.157440066  0.102332704
  0.159008026  0.109737113
  0.160578251  0.11635562
  0.162150502  0.122225896
  0.163724899  0.127504125
  0.165301323  0.132420555
  0.166880012  0.137221426
  0.168460846  0.142113671
  0.170043826  0.147226423
  0.171628833  0.152598083
  0.173216105  0.158190116
  0.174805403  0.163920626
  0.176396966  0.169706017
  0.177990675  0.175497442
  0.17958653  0.181300983
  0.18118453  0.187174499
  0.182784677  0.193202585
  0.184387088  0.199456364
  0.185991526  0.2059488
  0.187598228  0.212598637
  0.189207077  0.219211936
  0.190818191  0.225487411
  0.192431331  0.231044531
  0.194046736  0.235467672
  0.195664406  0.238356411
  0.197284222  0.239371777
  0.198906183  0.238268137
  0.200530291  0.234906942
  0.202156782  0.229251489
  0.2037853  0.221347734
  0.205416083  0.211298347
  0.207049131  0.199238047
  0.208684325  0.185316756
  0.210321784  0.169692814
  0.211961389  0.152535453
  0.213603258  0.134032041
  0.215247393  0.114393674
  0.216893673  0.0938535929
  0.218542218  0.0726547837
  0.220193028  0.0510276183
  0.221845984  0.0291620642
  0.223501325  0.00718179625
  0.225158811 -0.0148722557
  0.226818562 -0.0370404348
  0.228480577 -0.0594231412
  0.230144739 -0.0821414292
  0.231811285 -0.105286978
  0.233480096 -0.128871366
  0.235151052 -0.152788311
  0.236824393 -0.176798403
  0.23849988 -0.200543404
  0.240177751 -0.223588273
  0.241857767 -0.24548386
  0.243540168 -0.265836626
  0.245224833 -0.284369618
  0.246911764 -0.300958812
  0.24860096 -0.315634638
  0.25029254 -0.328547001
  0.251986265 -0.339899778
  0.253682375 -0.349869519
  0.25538075 -0.358527452
  0.257081389 -0.365785837
  0.258784413 -0.371382743
  0.260489702 -0.374912262
  0.262197375 -0.375896364
  0.263907313 -0.373883069
  0.265619516 -0.368549258
  0.267334104 -0.359784007
  0.269050956 -0.347730994
  0.270770192 -0.332778007
  0.272491693 -0.315494508
  0.274215579 -0.29652825
  0.27594173 -0.276485085
  0.277670264 -0.255818814
  0.279401183 -0.23475647
  0.281134486 -0.21327737
  0.282870054 -0.191151053
