#wavelength[A] flux[arbitraty]
  4337.4585  0.
  4343.33496  0.00124804489
  4349.21875  0.000462148513
  4355.11035 -0.00542422943
  4361.01025 -0.00411180826
  4366.91846 -0.0150428768
  4372.83447 -0.0317764245
  4378.7583 -0.0100919548
  4384.69043 -0.00294501893
  4390.63037 -0.0186397377
  4396.57861 -0.0908384547
  4402.53467 -0.0553063452
  4408.49854  0.0792440623
  4414.47119  0.0723285452
  4420.45166  0.154449105
  4426.43994  0.202436268
  4432.43652 -0.172579437
  4438.44092 -0.0256762505
  4444.4541  0.0684803352
  4450.4751 -0.0533912368
  4456.50439  0.477395922
  4462.5415  0.0299735349
  4468.58691  0.0774847195
  4474.64062 -0.151872337
  4480.70264  0.187322915
  4486.77295  0.255033642
  4492.85107 -0.381460547
  4498.9375 -0.445061475
  4505.03223 -0.11929331
  4511.13574 -0.119256146
  4517.24658  0.100862093
  4523.36621  0.204729542
  4529.49414 -0.352456063
  4535.63037 -0.720696092
  4541.7749 -0.627063155
  4547.92773 -0.386250973
  4554.08887  0.0600591078
  4560.2583  0.400584757
  4566.43652 -0.153315321
  4572.62256  0.319713205
  4578.81738  0.208205953
  4585.02002 -0.0328991748
  4591.23145  0.495136291
  4597.45117 -0.591605425
  4603.67969  0.817704678
  4609.9165  0.184754714
  4616.16162  1.49643815
  4622.41553 -0.280418515
  4628.67725  0.109325692
  4634.94775 -0.557491124
  4641.22705  0.315952122
  4647.51465 -0.112357259
  4653.81055 -0.246401355
  4660.11523  1.23202837
  4666.42822  0.186688349
  4672.75  0.662261605
  4679.08008 -0.686137915
  4685.41943  0.231775746
  4691.7666 -0.835012615
  4698.12256 -0.575598776
  4704.4873 -0.264719963
  4710.86035 -0.670453846
  4717.24219 -0.149063602
  4723.63281 -0.0671064556
  4730.03223  0.446972907
  4736.43994  0.488526434
  4742.85645 -0.71125257
  4749.28174 -0.756614745
  4755.71582 -0.491382003
  4762.1582  0.637938499
  4768.60986 -0.0828741044
  4775.06982  0.537819624
  4781.53906  0.0230596978
  4788.0166  0.669273019
  4794.50293 -0.191798925
  4800.99805 -0.414402068
  4807.50195 -0.688882351
  4814.01465  0.0304892808
  4820.53613  0.0974182114
  4827.06689  0.10375192
  4833.60596  1.08754718
  4840.1543  0.416556746
  4846.71143  1.30698311
  4853.27734 -0.673566163
  4859.85205 -0.932280302
  4866.43604  0.526861191
  4873.02881 -0.304563016
  4879.63037 -0.213395178
  4886.24072 -0.309642941
  4892.86035  0.1136797
  4899.48877 -0.0372079611
  4906.12646  0.00886846147
  4912.77295 -0.41593641
  4919.42773 -0.486372024
  4926.09277 -0.482471853
  4932.76611 -0.415496826
  4939.44873 -0.130366847
  4946.14014 -0.545307219
  4952.84082 -0.353440762
